stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,496.5,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,72.38,6.29,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,15,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,9,0,0,0,0,0,3,1,1,0,1,2,0,0,1,0,0
 24-34,0,0,0,1.64,25.45,0.82,3.28,0.82,4.93,0.82,0,0,0.82,2.46,1.64,6.57,0,0.82,0,9.85,0,0,2.46,27.91,0.82,0.82,0,0,0,10.67,0,0,1.64,1.64,4.93,0,0,7.39,0,0
 36-46,0,0,0,0,4.83,0,3.22,0,1.61,0,0,0,0,0.81,2.42,0.81,0,0.81,0,3.22,0,0,0,15.31,0,0.81,0,0,0,8.06,0.81,0,1.61,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,6.89,0,1.72,0,2.3,0.57,0.57,0,0,0,1.15,0,0,0,0.57,5.16,0.57,0.57,1.15,13.77,0,0,0.57,0,0,1.72,0,0,0,0,4.02,0,0,0.57,0,0
 60-70,0,0,0,0,13.74,0,0.98,0,4.91,0,0.98,0,0,0,1.96,0,0,0,0,7.85,0,0,0,15.7,0,0,0,0,0,3.93,0,0,0,0,1.96,0,0,1.96,0,0
 72-82,0,0,0,0,16.69,0.98,5.89,0,2.94,0,3.93,1.96,0,0,7.85,1.96,0,0,0,24.54,0.98,0,0,35.34,0,0,2.94,0,0.98,4.91,0,0,0.98,0,4.91,0,0.98,3.93,0,0
 84-94,0,0,0,0,7.43,1.06,5.31,0,3.19,1.06,3.19,1.06,0,0,4.25,2.12,0,0,1.06,4.25,0,0,1.06,12.74,0,0,1.06,0,0,2.12,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,0,0,24.04,1.09,1.09,0,3.28,0,5.46,2.19,0,0,14.21,2.19,2.19,1.09,0,16.39,0,2.19,0,29.51,0,4.37,4.37,0,1.09,16.39,0,0,1.09,0,1.09,1.09,4.37,8.74,1.09,0
108-118,0,0,0.77,0,9.19,0.77,2.3,0,3.06,0,0.77,0.77,0,0,8.43,2.3,0.77,0.77,0,5.36,0,0,0,12.26,0,0,0.77,0,0.77,1.53,0,0,0,0,0.77,0,0.77,2.3,1.53,0
120,0,0,0,0,1.96,0,0,0,3.92,0,1.96,0,0,1.96,3.92,0,0,0,0,3.92,0,0,0,17.64,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96
