stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,275.83,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,7.89,0,0,0,23.66,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,160.35,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,0,0,34.62,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,248.61,25.18,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,5,25,4,0,16,0,0,0,4,1,0,0,0,0,0,0,0,0,13,0,0,5,127,13,0,4,1,0,4,3,1,0,12,42,0,3,0,0
 24-34,0,0,0,5.75,6.57,3.28,0,21.34,0,0.82,0.82,5.75,0.82,0,0.82,0,0,0.82,0,0.82,0,30.37,0,0,22.16,207.68,4.1,0,4.93,0,0.82,9.85,0.82,0,0,2.46,48.43,0,3.28,0,0
 36-46,0,0,0,0,5.64,0,0,20.14,0,0,0,14.5,0,0,0,1.61,0.81,0,0,1.61,0,41.09,0,0.81,12.89,126.49,8.06,1.61,0.81,0,0,8.86,0.81,1.61,0.81,0.81,33.03,0,2.42,0,0.81
 48-58,0,0,0,0,4.59,0,0,26.4,0,1.15,3.44,18.36,0,0,0,0,0,0,1.15,0,0,67.14,0,1.72,10.33,61.4,1.72,0.57,2.87,0,0,6.89,0,0.57,0,0,28.12,0.57,2.87,0,0
 60-70,0,0,0,0,4.91,0.98,0,32.39,0.98,2.94,2.94,23.56,0,0,0,0.98,0,0,0,0,0.98,60.85,1.96,1.96,10.8,65.76,0.98,0.98,0.98,0,1.96,8.83,0,0,0,0,15.7,0.98,3.93,0,0
 72-82,0,0,0.98,0,5.89,0,0,25.52,0,0,2.94,38.28,0.98,0,0,0.98,0.98,0,0,0,0,97.18,0.98,0.98,3.93,44.17,0.98,0,4.91,0,0,1.96,0,0,0,0,6.87,0.98,5.89,0,0
 84-94,0,0,0,0,13.81,0,2.12,18.05,1.06,5.31,0,16.99,3.19,0,0,3.19,0,0,0,0,0,61.6,1.06,1.06,4.25,39.3,0,0,3.19,0,0,6.37,0,2.12,0,0,3.19,3.19,8.5,1.06,0
 96-106,0,0,0,0,9.84,1.09,1.09,22.95,0,2.19,5.46,24.04,5.46,0,2.19,2.19,1.09,1.09,3.28,1.09,3.28,44.81,2.19,1.09,4.37,21.86,1.09,3.28,7.65,0,0,4.37,0,0,0,0,2.19,0,5.46,2.19,1.09
108-118,0,0,1.53,0,8.43,0.77,3.83,17.62,0,0,2.3,20.68,6.13,0,0.77,0.77,0.77,1.53,0.77,1.53,1.53,29.87,1.53,1.53,8.43,35.23,0.77,0.77,3.06,0,0,9.96,0,0.77,0,0,0.77,0.77,5.36,1.53,0
120,0,0,0,0,7.84,0,5.88,5.88,0,1.96,1.96,13.72,7.84,0,0,5.88,0,0,0,1.96,0,25.48,3.92,1.96,11.76,33.32,3.92,0,0,0,0,5.88,0,0,0,0,5.88,0,1.96,1.96,0
