stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,92.25,1251.9,0,0,0,0,0,0,0,0,0,39.53,0
  5-6,30.65,465.85,6.13,0,0,0,0,0,24.52,12.26,6.13,0,0
  7-9,0,0,5.26,0,0,5.26,0,0,44.69,0,31.54,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,2.19,0,0,0,0
