stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,otic,periderm
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,118.6
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,269.7
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,23.66
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,1.15,0
 60-70,0,0.98,0,0,0.98,0.98,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,1.06,0,1.06,1.06,0,0,11.68,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,6.56,0
108-118,0,0,0,0,0,0,0.77,0,0,0.77,0,4.6,0
120,0,0,1.96,0,0,5.88,0,1.96,0,0,1.96,1.96,0
