stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,2.46,26.27,0.82,0,0,0,0.82,1.64,4.1,0
 36-46,0,0,0,0,0,0,1.61,0.81,0,10.47,0,0,0,0,0,0,0,0,56.4,0,0,0,1.61,0.81,0,12.89,0
 48-58,0,0,0,0,0,0,2.3,0.57,0,22.38,0,0,0,0.57,0,2.87,0,1.15,54.51,1.15,0,0,0,1.15,0,10.33,0
 60-70,0,0,0,0,0,0,8.83,1.96,0.98,37.3,0,0,0,0,0,6.87,0,0.98,136.43,0,0,0,0.98,1.96,0,8.83,0
 72-82,0,0,1.96,0,0,0.98,23.56,0.98,0,53.99,0,0,0.98,0.98,0,10.8,0,1.96,156.08,0.98,2.94,0,0.98,1.96,0,1.96,0.98
 84-94,0,0,1.06,0,2.12,0,14.87,1.06,1.06,35.05,3.19,1.06,0,0,0,9.56,0,1.06,105.14,3.19,0,0,0,0,0,4.25,0
 96-106,0,0,0,0,1.09,0,18.58,3.28,1.09,42.62,1.09,1.09,0,0,1.09,9.84,0,3.28,87.43,5.46,0,0,2.19,0,0,2.19,0
108-118,0,0,0.77,0,0,0.77,13.79,0.77,0.77,27.57,2.3,0,0.77,0,0,3.83,0,2.3,91.15,1.53,0,0,2.3,2.3,0,0.77,0
120,0,0,0,0,3.92,0,19.6,0,0,35.28,0,0,0,0,0,0,1.96,11.76,125.43,0,1.96,0,1.96,0,0,1.96,0
