stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0
 24-34,0,0,0,0,0,0,7.39,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,31.19,0,0,0.82,0,0,0,0,0,0,11.49,0,0,6.57,0,0
 36-46,0,0,0,0.81,0,0,8.86,0,0,0,3.22,0,0,0.81,0,0,0,0,0,2.42,0,0,0.81,115.21,0.81,1.61,0,0,0,0.81,0,0,0,36.26,0,0,17.72,0,0
 48-58,0,0,0,0,0,0,45.33,0,0,0,3.44,0,0,1.15,0.57,0,0,0,0,8.03,0,0,1.72,228.95,0.57,0.57,0,0,0,0.57,0,0.57,0,62.54,0,0,17.21,0,0
 60-70,0,0,0,0.98,0,0,219.86,0.98,0.98,1.96,4.91,0,0,0,0,0,0,0,0,6.87,0,0,0.98,494.69,0,0,0.98,0,0,0.98,0,0,0,124.65,0,0,14.72,0,0
 72-82,0,0,0,1.96,0,0,462.36,0.98,0,1.96,24.54,0.98,0,0.98,0.98,0.98,0,1.96,0,23.56,0,0.98,0,474.14,0,0,0,0,0,0.98,0,0,0,65.77,0,0.98,45.16,0,1.96
 84-94,0,0,1.06,2.12,1.06,0,425.88,0,0,0,20.18,3.19,0,0,1.06,1.06,0,0,1.06,8.5,0,1.06,2.12,278.25,1.06,0,0,0,1.06,3.19,0,0,1.06,38.23,0,0,38.23,0,1.06
 96-106,0,0,0,6.56,0,0,415.28,0,2.19,1.09,15.3,0,0,1.09,3.28,1.09,0,3.28,0,13.11,2.19,0,0,233.87,1.09,0,0,0,0,5.46,0,0,0,9.84,0,1.09,31.69,0,1.09
108-118,0,0,0,7.66,2.3,0.77,348.51,0,0.77,0,20.68,0,0,0.77,0,0,0.77,2.3,0,16.85,0.77,0,1.53,267.32,1.53,0.77,0,0,0.77,3.06,0,0,0,12.26,0.77,0,32.94,0.77,0
120,0,0,0,1.96,0,0,213.62,0,0,0,19.6,3.92,0,0,5.88,0,0,0,0,19.6,0,1.96,1.96,386.08,0,0,0,0,0,0,0,3.92,0,15.68,0,1.96,39.2,1.96,0
