stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,24.52,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,5,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,9,1,0,0,0,1,1,0,2,4,0,0,0
 24-34,0,0,0,0,0.82,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0.82,5.75,2.46,0.82,0,0,0,0,0,0,8.21,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,4.03,0.81,0,0,0,1.61,0,0,0,0.81,0,0,0.81
 48-58,0,0,0,1.15,1.15,0,2.3,1.15,0,0,0,0,0,0,1.15,0.57,0,0.57,3.44,0.57,0,0,0,4.02,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,1.96,0.98,0,0,4.91,0.98,0.98,0,2.94,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,0.98,0,0,1.96,0,0.98,0,0,0.98,0,8.83,0.98,0,0.98,6.87,0.98,0,0,0,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,5.31,1.06,0,0,0,1.06,0,2.12,0,0,1.06,5.31,0,0,0,2.12,1.06,0,1.06,0,1.06,0,0,0,0,0,0,2.12
 96-106,0,0,3.28,7.65,0,0,0,1.09,1.09,1.09,2.19,0,0,0,7.65,1.09,0,1.09,4.37,1.09,1.09,2.19,0,5.46,0,0,0,0,1.09,1.09,5.46
108-118,0,0,1.53,1.53,1.53,1.53,0.77,0,0,0.77,3.06,0.77,0,1.53,6.13,0.77,0.77,0.77,4.6,0,0,0.77,0,2.3,0,0,0,0,0,0,3.06
120,0,0,0,11.76,0,0,0,0,0,0,0,1.96,0,0,7.84,0,0,0,5.88,0,0,0,0,3.92,0,0,0,0,0,0,1.96
