stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,3,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,1.64,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,44.31,4.83,0,0,0,12.09,0,0,0
 48-58,0,0,0,0,1.15,0,72.3,0,0,0.57,0,0,0,0,0,0,0,0,0,52.79,2.87,0,0,0,13.2,0,0,0.57
 60-70,0,0,0,0,0,0,203.18,1.96,0,0.98,0,0,0.98,0,0,0,0,0,0,96.19,1.96,0,0,0,14.72,0,0.98,0
 72-82,0,0,0.98,0,1.96,0.98,235.6,0,0,4.91,0,0,0,0,0.98,0.98,4.91,0,0.98,118.78,10.8,0.98,0,0,19.63,0,0,0
 84-94,0,0,0,0,1.06,0,202.85,0,0,6.37,1.06,0,0,0,0,0,3.19,0,0,84.96,1.06,0,0,0,7.43,0,0,0
 96-106,0,0,0,0,1.09,0,103.82,0,0,1.09,0,0,0,0,1.09,0,2.19,0,0,85.24,6.56,0,0,0,8.74,0,0,1.09
108-118,0,0,0,0,0.77,0,82.72,0,0.77,2.3,0.77,0,0,0,0,0,0.77,0,1.53,81.96,4.6,0,0,0.77,7.66,0.77,0,0.77
120,0,0,0,0,1.96,0,76.43,0,0,0,0,0,0,1.96,0,0,1.96,1.96,0,97.99,7.84,0,0,0,13.72,0,0,0
