stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,5,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,5,6,0,0
 24-34,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,19.7,0.82,1.64,0.82,0,8.21,6.57,0,0
 36-46,1.61,0,2.42,0,0.81,0.81,0,0,0,0,2.42,0.81,0,0,29,0,0.81,0,0,4.03,3.22,0,0.81
 48-58,1.15,0,8.61,1.15,0,1.72,0,0.57,0,0,1.72,0,0.57,0,20.66,0,0.57,0,0,4.59,5.74,0,0.57
 60-70,0,0,4.91,0,0,1.96,0,0,0.98,1.96,1.96,0,0.98,0.98,28.46,0.98,0.98,0,0,1.96,5.89,0,0
 72-82,1.96,0,7.85,0,0,1.96,0,0,0,1.96,3.93,0,0.98,0,25.52,0.98,0.98,0,0,2.94,0.98,0,0
 84-94,1.06,1.06,6.37,0,0,0,0,1.06,0,0,2.12,0,1.06,0,8.5,0,1.06,0,0,8.5,1.06,1.06,1.06
 96-106,1.09,0,3.28,1.09,0,1.09,0,0,0,0,0,1.09,0,0,16.39,0,1.09,0,0,12.02,1.09,1.09,0
108-118,0.77,0,4.6,0.77,0,0,1.53,0.77,0,0,0.77,0,0,0,10.72,0,0,0,0,6.13,0,0.77,0
120,0,1.96,5.88,1.96,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,5.88,0,0,0
