stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,263.56,3913.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,514.89,2758.34,12.26,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,91.94,12.26,0,0,18.39,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,207.67,31.54,105.15,0,0,36.8,0,0,0,0,0,299.67,0,0,0,0,0,0,0,0,0,0,672.95,47.32,0,0,286.53,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,9.44,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,147.91,15.73,0,0,69.23,0,0,6.29,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,2,12,13,19,0,0,0,0,0,1,0,0,0,1,0,8,16,10,0,8,53,3,0,0,3,0,0,0,20,4,2,17,12,0,0,0,12
 24-34,0,0,0,1.64,2.46,50.89,0,1.64,0,0,0,0,0,0,0,18.88,0,4.1,80.44,7.39,0,3.28,53.36,0.82,0,1.64,0,0,1.64,0,0,1.64,1.64,1.64,15.6,0,2.46,0,72.24
 36-46,0,0,0,0.81,0.81,24.17,0,0,2.42,0.81,0,0,0,0,0,39.48,0,2.42,61.23,12.89,0,0.81,34.64,0,0.81,1.61,0,0,1.61,0,0,0,0,0,9.67,0,0.81,0,27.39
 48-58,0,0,0,0.57,1.15,29.84,0.57,0,0.57,4.02,0,0,0,0,0,65.99,0,1.15,30.99,21.8,0,2.3,32.13,0,0,0,0,0,0.57,0,0,0,0,0,6.31,0,1.72,0,33.85
 60-70,0,0,0,0.98,2.94,22.58,0.98,0,0,13.74,0,0,0,0,0,116.8,0,5.89,14.72,17.67,0,0.98,36.32,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,16.69
 72-82,0,0,0,0.98,15.71,24.54,0,0,0.98,10.8,0,0,0,0,0.98,118.78,0,53.01,20.61,48.1,1.96,1.96,50.06,0,0.98,0,0,0,0,0,0,0.98,0,0,4.91,1.96,3.93,0,8.83
 84-94,0,0,0,0,9.56,37.17,0,1.06,1.06,9.56,0,0,1.06,1.06,0,154,1.06,165.68,24.43,40.36,0,4.25,33.99,0,0,1.06,0,0,2.12,0,0,0,0,0,2.12,1.06,5.31,0,16.99
 96-106,0,0,1.09,0,15.3,14.21,0,1.09,2.19,12.02,0,0,1.09,2.19,0,130.05,0,240.43,25.14,48.09,5.46,6.56,36.06,1.09,0,0,0,1.09,2.19,0,0,0,0,0,1.09,0,4.37,1.09,7.65
108-118,0,0,0,2.3,10.72,13.02,0,0.77,3.06,9.19,0.77,0,0,0.77,1.53,169.28,0,546.9,22.98,38.3,2.3,3.06,53.62,0.77,1.53,0,0,1.53,1.53,0.77,0,0,0,0,0.77,2.3,1.53,0,9.96
120,0,0,0,0,7.84,15.68,0,0,0,13.72,0,0,0,0,1.96,109.75,0,335.12,7.84,17.64,0,15.68,50.95,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,7.84
