stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,1,3,0,0,69,11,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,6.57,0,0,0,1.64,0,0,0,0,0,0,0.82,0,13.13,0,0,6.57,66.49,0,0,0,0,0,0.82,0,0,0.82,2.46,13.95,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,8.86,0,0.81,0.81,2.42,0,0,0,0,1.61,0,0,0,31.42,0,0,8.06,84.6,0,0,1.61,0,0,2.42,0,0.81,0,0,24.17,0,0,3.22,0,0
 48-58,0,0,0,0,1.15,0,0,22.38,0,0,2.87,3.44,0,0,0,0,0.57,0,0,0,87.79,0,2.3,14.35,60.82,0,0.57,0,0,0,2.3,0,1.15,0,0,16.07,0,0,6.89,0,0
 60-70,0,0,0,0,0.98,0,0,20.61,0.98,0,0.98,2.94,0,0,0.98,0,0,0,0.98,0,180.6,0,0.98,21.59,45.15,0,0,0.98,0,0.98,1.96,0,0,0,0,11.78,0.98,1.96,7.85,0,0.98
 72-82,0,0,0,0,3.93,0.98,0,38.28,0,0,2.94,8.83,0,0,0,0,0,0,0,0.98,261.12,0,1.96,18.65,40.25,0.98,0,1.96,0,0,1.96,0,0,0,0,3.93,1.96,0,7.85,1.96,0
 84-94,0,0,0,0,5.31,1.06,0,19.12,0,0,3.19,3.19,1.06,0,0,0,0,0,0,0,169.93,0,3.19,15.93,24.43,0,0,1.06,0,2.12,2.12,0,0,0,0,2.12,0,1.06,7.43,5.31,2.12
 96-106,0,0,0,0,10.93,2.19,0,13.11,0,0,4.37,3.28,3.28,0,1.09,1.09,0,1.09,0,1.09,189.06,0,3.28,16.39,42.62,0,1.09,3.28,0,2.19,3.28,0,1.09,0,0,1.09,1.09,1.09,10.93,5.46,0
108-118,0,0,0,0,9.96,0.77,0.77,15.32,0,1.53,2.3,3.83,0,0,0,0,0,0,0,0,163.15,0.77,2.3,13.79,19.15,0.77,0,3.06,0,3.06,3.83,0,0,0,0,0.77,0.77,1.53,6.89,5.36,0
120,0,0,0,0,9.8,1.96,0,13.72,0,1.96,1.96,5.88,1.96,0,0,0,0,0,0,0,152.86,1.96,0,5.88,27.44,1.96,1.96,1.96,0,1.96,0,0,0,0,0,0,1.96,1.96,13.72,1.96,0
