stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,1,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,65.67,0,0,0,2.46,0,0.82,0,0,0,0,3.28,0
 36-46,0,0,0,0,0,0,81.37,0,0.81,0,1.61,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0.57,0,0,60.25,0,0.57,0,3.44,0,0,0,0,0,0,5.74,0.57
 60-70,0.98,0.98,0,0,0,0,54.97,0,0.98,0,3.93,0,0,0,0.98,0,0,9.82,0
 72-82,0,0,0,1.96,0,0,129.58,0,1.96,0,3.93,0,0,0,0,0,0,18.65,0
 84-94,0,0,0,1.06,2.12,0,156.12,0,2.12,1.06,2.12,0,1.06,0,0,0,1.06,28.68,0
 96-106,0,1.09,3.28,3.28,1.09,0,218.57,0,4.37,1.09,6.56,0,0,0,0,0,0,53.55,0
108-118,0,0,1.53,2.3,1.53,2.3,188.43,0,4.6,0,4.6,0,0,0,0,0.77,0,42.89,0
120,0,3.92,1.96,1.96,0,3.92,213.62,1.96,5.88,0,7.84,1.96,1.96,0,0,0,0,54.87,0
