stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,0,0,0,0,0,31.54,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,3,1,0,0,0,0,0,1,0,0,11,0,0,0,0,0,2,0,3,5,0,0
 24-34,0,0,1.64,4.1,0,0,0,0,0,3.28,0,0.82,37.76,0,0,0.82,0,0,0,0,0,9.85,2.46,0
 36-46,0,0,0,6.45,0.81,0.81,0,1.61,0,4.03,0,1.61,27.39,0,0.81,0,0,1.61,0,0,0,6.45,1.61,0
 48-58,0,0,0.57,7.46,0.57,0,0,0,0,2.87,0,0,17.79,0,0.57,0,0,1.72,0,0,0,5.74,0.57,0
 60-70,0,0,0,11.78,2.94,0,0,0,0.98,4.91,0,0,26.5,0,0.98,0,0,0,0,0.98,0,3.93,0,0
 72-82,0,0,0.98,7.85,2.94,0,0.98,0,0,4.91,0,0,14.72,0,0.98,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,8.5,1.06,0,0,0,0,4.25,2.12,0,9.56,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,0,0,0,3.28,0,0,7.65,0,0,0,0,2.19,0,0,0,1.09,1.09,1.09
108-118,0,0,0,3.06,1.53,0,0,0.77,0,3.83,0,0,10.72,0,1.53,0,0,0,0,0,0,0.77,0.77,0
120,0,0,3.92,0,0,1.96,0,0,0,1.96,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0
