stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.76,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,373.91,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,13.14,0,36.8,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,229.73,3.15,0,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,2,13,1368,1,0,17,0,8,0,1,20,6,0,0,64,1,0,0,6,15,0,1,36,1,11,92,3,0,711,0,2,36,0,2,7,0,0,0,0
 24-34,0,0,0.82,5.75,158.43,0,0,2.46,0,14.78,0,0,8.21,0.82,0.82,0,74.7,13.95,0,0,1.64,32.01,0,1.64,52.53,0,18.06,15.6,0,0,561.47,0,0,27.09,0,0,2.46,0,0,0,0
 36-46,0,0,0,2.42,139.38,0,0,9.67,0,32.23,0.81,0,8.06,0,0,0,33.84,10.47,0,0,3.22,19.34,0,0.81,63.65,0.81,12.89,21.75,0,0,643.73,0,0,9.67,0,0,9.67,0,0,0,1.61
 48-58,0,0,0,0.57,79.19,0.57,0,8.61,0,25.25,0,1.15,3.44,5.16,0,0,13.2,10.9,2.87,0,2.87,9.75,0,0,23.53,0,8.03,12.62,0,0,258.79,0,0,6.89,0,0,3.44,0,0,0,0.57
 60-70,0,0,0.98,1.96,198.27,0,0,14.72,0,60.85,0,0.98,14.72,1.96,0,0,28.46,15.7,1.96,0,10.8,17.67,0,0.98,38.28,0,8.83,15.7,0,0,417.15,0,0,10.8,0,0,4.91,7.85,0.98,0,0
 72-82,0,0,5.89,0,197.31,0,0,7.85,0,33.38,0.98,1.96,32.39,0,0,0,41.23,22.58,1.96,0,7.85,21.6,0.98,0.98,37.3,0,7.85,23.56,0,0,228.73,0,0,13.74,0,0,0.98,13.74,0.98,0.98,0
 84-94,1.06,0,3.19,3.19,480.04,2.12,0,3.19,0,138.06,1.06,5.31,60.54,1.06,0,1.06,87.09,28.68,8.5,0,4.25,32.92,1.06,1.06,26.55,0,22.3,10.62,0,0,766.79,0,0,33.99,0,0,0,38.23,1.06,1.06,0
 96-106,0,0,2.19,1.09,592.32,4.37,0,16.39,1.09,159.56,2.19,7.65,92.89,0,0,1.09,136.61,53.55,7.65,0,10.93,53.55,1.09,2.19,43.71,0,42.62,25.14,0,1.09,774.83,0,0,36.06,0,0,1.09,100.54,2.19,0,1.09
108-118,0,0,2.3,3.83,607.41,0.77,0.77,9.96,0.77,211.41,0.77,6.13,160.09,0,0,2.3,137.87,45.19,24.51,0.77,6.89,52.09,0,0.77,33.7,0,37.53,49.79,0,0,751.41,0,0,32.94,0.77,0,0,143.24,0.77,0,0
120,0,0,0,0,331.2,0,0,3.92,0,103.87,0,1.96,45.08,0,0,1.96,50.95,17.64,11.76,0,3.92,41.16,0,0,31.36,0,21.56,33.32,0,0,399.8,0,0,17.64,0,0,1.96,50.95,0,0,0
