stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,liver,mesenchyme,muscle,neural,otic,slow_muscle,spinal_cord,vasculature,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,1,0,4,0,3,36,0,0
 24-34,0.82,0,0,2.46,0.82,0,0,0,0,0,0,21.34,0,0,30.37,0,0
 36-46,2.42,0,0,0.81,0,0,0,0,0,0,0,25.78,0,0,16.92,0,0
 48-58,1.15,0,0,2.3,0.57,0,0,0,0,0,0,21.23,0,0,6.89,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,0,20.61,0,0,0.98,0,0
 72-82,1.96,0,0,1.96,0,0,2.94,0,0,0.98,0,26.5,0,0,0.98,0,0.98
 84-94,1.06,0,0,3.19,0,0,13.81,0,0,2.12,1.06,25.49,0,0,1.06,1.06,0
 96-106,1.09,1.09,0,7.65,0,1.09,18.58,1.09,0,1.09,0,28.41,1.09,0,0,0,0
108-118,0,1.53,0,3.06,0,0,15.32,0,0,2.3,0,25.28,0,0,0.77,0,0
120,1.96,0,0,1.96,0,0,23.52,0,1.96,0,0,29.4,0,0,0,0,0
