stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,5,2,33,1,0,0,0,0,4,0,6,8,0,0,1
 24-34,0,0,0,0.82,0,3.28,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,1.64,4.93,35.3,0.82,0.82,0,0,0,0,0,1.64,12.31,0,0.82,0
 36-46,0,0,0,0,0,12.09,0.81,0,0,4.03,0,0,0,0,0,0,0,0,5.64,0,70.09,0.81,0,0,0,0,0,0,0,13.7,0,0,0.81
 48-58,0,0,0,0,0,20.08,0.57,0,0,3.44,0,0,0,0,0.57,0,0,0,4.02,0.57,60.82,0,0.57,0.57,0,0,0,0.57,0,13.2,0,0,1.15
 60-70,0,0,0,0,0,64.78,0,0,0,7.85,0,0,0,0.98,0,0,0,0,5.89,0.98,86.37,0,0,0,0,0,0,0,0,15.7,0,0,2.94
 72-82,0,0,0,0,0,65.77,0,0,0,8.83,0,0,0,0,0,0,0,0,2.94,0,63.81,0,0.98,0,0,0,0,0,0,4.91,0.98,0,0.98
 84-94,0,0,1.06,1.06,0,59.47,0,0,0,9.56,1.06,0,1.06,0,0,0,0,1.06,2.12,1.06,32.92,0,1.06,0,0,1.06,0,0,0,10.62,0,2.12,1.06
 96-106,0,0,0,1.09,0,49.18,0,0,2.19,6.56,0,0,1.09,0,0,0,0,0,3.28,0,39.34,0,2.19,0,0,3.28,0,0,0,4.37,0,1.09,0
108-118,0,0,0,0.77,0,43.66,0,0,0.77,4.6,0.77,0,0.77,0,0,0,0,3.06,5.36,1.53,44.43,0.77,0.77,0,0,0.77,0,0,0,0.77,1.53,1.53,0
120,0,0,0,0,0,37.24,0,1.96,0,3.92,0,0,0,0,1.96,0,1.96,0,3.92,3.92,33.32,0,0,1.96,0,1.96,0,0,0,3.92,0,0,1.96
