stage,axial,blastomeres,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,otic,somites,spinal_cord,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,6,0,2,1,1,0
 24-34,0,0,0,0.82,0,0,0.82,0.82,7.39,0,1.64,0,0.82,0
 36-46,0,0,0,0,6.45,0,4.83,0,10.47,0.81,0.81,0,2.42,0
 48-58,0,0,0,1.72,12.05,0,8.61,0,2.87,0.57,2.87,0,2.87,1.15
 60-70,0,0,0,1.96,9.82,0,10.8,0,1.96,0,2.94,0,0,0.98
 72-82,0,0,0,0.98,13.74,0,20.61,0,1.96,0.98,0.98,0,0,0.98
 84-94,0,0,1.06,1.06,3.19,0,8.5,0,2.12,1.06,3.19,0,0,0
 96-106,0,0,0,1.09,9.84,0,7.65,0,5.46,0,3.28,0,0,0
108-118,0,0,0,0.77,9.96,0,6.13,0,0.77,0,2.3,0,0,0.77
120,0,0,0,0,3.92,1.96,5.88,0,1.96,0,3.92,0,0,1.96
