stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1752.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,582.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,10.51,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.32,6.29,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,12,4,0,6,0,0,0,14,1,0,2,0,0,0,0,0,0,8,0,0,1,197,3,5,2,2,0,1,0,11,4,1,171,0,0,0,0,0
 24-34,0,0,3.28,1.64,7.39,0,0,56.64,0,0,0,19.7,0,0.82,0,0,1.64,0,0.82,0.82,0,5.75,0.82,0,1.64,925.93,0.82,10.67,13.13,0,0,1.64,0,4.93,0,0,309.46,0,0,0,0,0
 36-46,0,0,0,0.81,4.03,0,0,140.19,0.81,0,0,40.28,0,0,0.81,0.81,0,0,0.81,0,0,4.83,0.81,0,2.42,1599.25,0,17.72,7.25,0,0,0.81,0,4.03,0,0,372.22,0,0,0,0,0
 48-58,0,0,0,0,7.46,0,0,344.86,0,1.15,0,87.79,1.15,0,0,0,0.57,1.15,1.72,0.57,0.57,22.95,0.57,1.15,1.72,1697.31,0,9.75,7.46,0,0,1.15,0,1.72,0.57,0,341.99,0,0.57,1.72,0,0.57
 60-70,0,0,2.94,0,1.96,0.98,0,578.12,0,0.98,0.98,113.86,0.98,0,0,2.94,0.98,0,0.98,0.98,0,21.59,0.98,0.98,3.93,2280.08,0.98,13.74,4.91,0,0,3.93,0,1.96,0,0,347.46,0,0.98,0.98,0,0
 72-82,0,0,5.89,0,18.65,4.91,0,599.8,0,0,0,117.8,6.87,0,0,1.96,0.98,1.96,2.94,0.98,0.98,57.92,0,0.98,1.96,1829.82,0,24.54,9.82,0,0,1.96,0,2.94,0,0,170.81,3.93,0,1.96,3.93,3.93
 84-94,0,0,7.43,0,13.81,5.31,0,392.95,0,2.12,1.06,81.78,7.43,0,0,2.12,1.06,0,4.25,0,0,27.61,3.19,2.12,1.06,945.21,0,16.99,18.05,0,0,3.19,0,2.12,0,0,107.27,3.19,0,4.25,0,1.06
 96-106,0,0,4.37,0,7.65,0,1.09,244.8,0,1.09,2.19,77.59,6.56,0,1.09,1.09,0,0,5.46,1.09,0,18.58,0,1.09,2.19,611.99,1.09,22.95,17.49,0,0,4.37,0,2.19,0,0,43.71,0,1.09,2.19,0,0
108-118,0,0,5.36,0,9.19,6.89,0,206.04,0.77,1.53,3.06,83.49,2.3,0,0,4.6,2.3,0.77,2.3,0,0,15.32,1.53,1.53,0.77,768.26,0,9.96,14.55,0,0.77,2.3,0,0.77,0,0,36.77,0.77,0,2.3,0,0.77
120,0,0,5.88,1.96,11.76,5.88,0,272.41,1.96,0,3.92,101.91,3.92,0,0,5.88,0,0,1.96,5.88,0,23.52,0,0,1.96,1191.55,0,17.64,21.56,0,1.96,1.96,0,1.96,0,0,56.83,1.96,1.96,1.96,0,0
