stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,18,1,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,2.46,0,0,3.28,31.19,2.46,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0.81,0,0,4.03,0,0,4.03,16.92,1.61,0,1.61,0
 48-58,0,0,0,0,2.87,0,0,0,0,0,0.57,0,0,0.57,0,0,4.02,0,0,0.57,12.05,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0,0.98,0,0,6.87,0,0,0.98,13.74,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98,1.96,0,0,9.82,0,0,0.98,14.72,0,0,0.98,0.98
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,1.06,0,1.06,4.25,0,0,3.19,55.23,0,1.06,0,2.12
 96-106,0,1.09,1.09,1.09,7.65,0,1.09,0,0,0,0,0,0,1.09,1.09,1.09,8.74,0,0,5.46,40.44,1.09,1.09,2.19,0
108-118,0,0,0,0,0.77,0,0,1.53,0.77,0,0,1.53,0.77,1.53,0,0,7.66,0.77,0.77,0.77,41.36,0,0,0.77,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,25.48,1.96,1.96,1.96,0
