stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,7.89,10.51,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,178.75,5.26,0,0,81.49,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,110.14,0,0,0,40.91,0,0,6.29,0,0,0,0
 14-21,0,0,0,5,1,2,0,0,1,0,0,1,0,0,0,0,0,0,2,58,0,0,0,1,2,1,0,2,21,2,0
 24-34,0,0,0,3.28,0,29.55,0,0,4.1,0,0,0,0,0.82,0,6.57,0,0,2.46,162.53,0,2.46,0,0,1.64,0,0,0,23.8,0,0
 36-46,0,0,0,1.61,0,18.53,0,0,2.42,0,0,0.81,0,0,0,4.03,0,0,1.61,78.15,0,1.61,0,0,0,0,0,0,12.89,0.81,0
 48-58,0,0,0,0,0,26.97,0,0,0.57,0,0,0,0,0,0,5.74,0,0,0.57,28.69,0,0,0,0,0,0,0,0,2.87,0.57,0.57
 60-70,0,0,0,2.94,0.98,21.59,0.98,0.98,0,0,0,0.98,0,0,0,6.87,0.98,0,0,27.48,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,20.61,0.98,0,4.91,0.98,0,0,0,0,0,5.89,0,0,1.96,32.39,0,0.98,0.98,0,0,0,0,0,1.96,1.96,0
 84-94,0,0,0,3.19,0,10.62,0,0,2.12,1.06,0,0,0,0,0,4.25,0,1.06,0,23.36,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,0,4.37,0,0,3.28,0,0,0,1.09,0,0,2.19,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,1.53,3.83,0,0,0.77,0,0,0,0.77,0,0,3.83,0,0,0.77,13.02,0,0,0,0,0.77,0,0,0,0,1.53,0
120,0,0,0,3.92,1.96,19.6,0,0,1.96,0,0,0,0,0,1.96,5.88,0,1.96,1.96,15.68,0,0,0,0,1.96,0,0,0,0,1.96,0
