stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,513.94,9474.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,1397.56,22532.54,0,55.17,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,907.19,98.07,0,0,269.7,226.8,0,0,0,0,0,0,0,0,0,0
  7-9,554.66,515.23,0,1064.63,0,2.63,344.36,0,0,0,0,0,162.98,0,0,0,0,0,0,0,0,12864.92,809.64,0,0,7084.38,18.4,52.57,0,2.63,0,0,0,0,0,0,0
 10-12,6.29,195.11,0,450.02,0,9.44,107,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,5667.69,500.37,0,0,3980.92,3.15,25.18,9.44,207.7,0,9.44,6.29,0,0,0,0
 14-21,0,0,1,0,191,12,6,0,0,0,8,2,2,0,0,1,0,0,34,0,43,248,156,1,23,398,2,1,794,25,3,510,779,0,0,0,0
 24-34,0,0,0,0,0,0.82,2.46,0,0,2.46,1.64,0,0.82,0,0,0,0,0,12.31,0,44.33,98.5,15.6,0,27.09,0.82,0.82,0,2.46,0.82,0,136.26,151.04,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,1.61,0.81,0,0,0,0,0,0,0,7.25,0,9.67,45.92,1.61,0,5.64,0,0.81,0,0,0,0,0,39.48,0,0,0,0
 48-58,0,0,0,0,0,0,4.59,0,0,0.57,4.59,0,0,0,0,0,0,0,4.59,0,1.15,94.68,0,0,4.59,0,0,0,0,0,0,0,8.61,0,0,0,0
 60-70,0,0,0,0,1.96,0,6.87,0,0,0,1.96,0,0,0,0,0,0,0,4.91,1.96,0,181.58,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,3.93,0,21.6,0,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0,168.85,0,0.98,1.96,0,0,0,0,0,0,0,5.89,0.98,0,0.98,0
 84-94,0,0,0,0,4.25,0,19.12,0,1.06,0,7.43,0,0,1.06,0,0,0,1.06,7.43,0,0,96.65,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,0,0,0,7.65,0,10.93,1.09,1.09,0,4.37,1.09,0,0,0,1.09,0,0,4.37,0,0,76.5,0,0,2.19,0,0,0,0,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0.77,0,3.06,0,6.89,0.77,0,0,3.06,0,0,0,0,0,0,0,3.83,0,0,98.81,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,11.76,3.92,17.64,0,0,0,3.92,0,0,0,3.92,0,0,0,3.92,1.96,0,121.51,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
