stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord
 14-21,2,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,1.64,0,0,0,0,0,0,0.82,0.82,0,0,0.82,0
 36-46,0.81,0,0,0,1.61,0,0,1.61,0.81,0,3.22,0,0.81
 48-58,0.57,1.72,0.57,0.57,0,0,0,0.57,0,0.57,2.3,0.57,0
 60-70,1.96,0,0,0,0,0,0,1.96,0.98,0.98,8.83,0,0
 72-82,2.94,0,0.98,0,0,0,0,2.94,0,1.96,2.94,0.98,0.98
 84-94,8.5,1.06,2.12,0,0,0,0,1.06,0,0,4.25,0,0
 96-106,4.37,0,0,0,0,1.09,0,0,0,1.09,9.84,0,0
108-118,14.55,0.77,2.3,0,0,0,0.77,0,0,0.77,3.06,0,0
120,13.72,0,0,0,0,0,1.96,0,0,0,0,0,0
