stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,10.51,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,2,27,3,0,0,0,0,0,2,24,0,1,16,0,0,1,0,1
 24-34,0,0,0,0,4.93,0,0,6.57,0,0,0,0.82,0,0,0,1.64,0,0,0.82,0,1.64,0,0,3.28,55,3.28,3.28,2.46,0,0,0,0,18.88,0,1.64,37.76,0,0,1.64,0,0.82
 36-46,0,0,1.61,0,0,1.61,0,10.47,0,0,0.81,4.83,0,0,2.42,0,0,0,3.22,0,0,0,0,4.83,101.51,0,7.25,5.64,0,0.81,0.81,0,7.25,0,0,58.01,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,16.07,0,0,1.15,18.94,0.57,0,0,1.15,0,0,2.87,0,8.03,0,0,1.15,118.2,0,8.03,5.74,0,0,0,0,2.87,0,0,44.18,0,0,2.87,0,1.15
 60-70,0,0,0.98,0,1.96,0,0,46.13,0,0,0.98,66.74,0.98,0,0.98,0.98,0,0,10.8,0,8.83,0,0,0,132.51,0,6.87,11.78,0,0.98,0,0,4.91,0.98,0,27.48,0,0,0.98,0,0
 72-82,0,0,1.96,0,2.94,0,0,107,0,0.98,1.96,182.59,0,0,0.98,0,0,0.98,15.71,1.96,23.56,0,0,2.94,249.34,0,21.6,26.5,0,0,0,0,8.83,0,0,45.16,1.96,0,7.85,0.98,1.96
 84-94,0,0,3.19,0,5.31,0,0,86.03,0,0,2.12,130.63,2.12,0,0,1.06,1.06,1.06,19.12,4.25,10.62,0,0,0,183.73,0,13.81,32.92,0,3.19,0,0,9.56,0,0,23.36,1.06,0,2.12,0,2.12
 96-106,0,0,6.56,1.09,7.65,3.28,0,135.51,1.09,1.09,2.19,167.21,2.19,0,2.19,5.46,1.09,0,43.71,4.37,9.84,1.09,0,2.19,193.43,0,20.76,38.25,0,4.37,0,0,30.6,0,0,16.39,1.09,0,6.56,1.09,2.19
108-118,0,0,4.6,2.3,3.83,0,0.77,158.55,0,0,1.53,203.75,0.77,0,0.77,4.6,0,0.77,26.04,3.06,13.02,0,0,0.77,293.36,0.77,19.15,38.3,0,0.77,0,0,22.21,0.77,0,15.32,3.06,1.53,6.13,0.77,4.6
120,0,0,3.92,1.96,9.8,1.96,0,190.1,0,0,0,305.73,7.84,0,1.96,1.96,0,1.96,13.72,1.96,15.68,1.96,1.96,0,517.38,1.96,33.32,52.91,0,3.92,0,0,21.56,0,0,31.36,7.84,0,13.72,1.96,0
