stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,0,0,5.26,0,0,0,0,0,107.78,0,0,81.49,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,15.73,0,0,0,0,0,0,0,0,3.15,144.76,0,0,72.38,3.15,0,12.59,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,2,2,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,10.67,0,0,0,9.85,0,0,0.82,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,1.61,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.72,0,0.57,0,0,0,0,0,1.15,0.57,17.21,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,2.94,0,16.69,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,2.12,0,1.06,0,0,0,0,0,0,0,3.19,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.46,0,0,0,0,1.09,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,0,0,1.53,0,0,0,0.77,1.53,0.77,6.13,0,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,3.92,0,1.96,3.92,0,0,0,0,1.96,0,1.96,0,9.8,1.96,0,0,0,0,0,0,0,0,0
