stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,43,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,11,0,0,0,0,0,0,0,1,7,0,0,0
 24-34,0,0,0,2.46,0.82,1.64,0,0,0,0,0,0,0.82,0,0,4.1,0,0,0.82,41.86,0,0,0.82,0,0,0,0,0,9.85,0,0.82,0
 36-46,0,0,0,1.61,0,3.22,1.61,0,3.22,0,0,0,0,0,0,0.81,0,0.81,0,75.73,0,0,0,0,0,0,0,0,16.11,0,0.81,0
 48-58,0,0,0,1.72,0,22.95,0,0,2.3,0,0,0,0,0,0,1.72,0,0,0,111.32,0,0,0,0,1.15,0,0,0,13.77,0,0.57,0
 60-70,0,0,0,0,0,196.3,0.98,0,3.93,0,0,0,0,0,0,4.91,0,0,1.96,172.75,0,0,1.96,0,2.94,0,0,0,30.43,0.98,0,0
 72-82,0,0,0,3.93,0.98,366.16,0,0,11.78,0.98,0,0.98,0,0,0,17.67,0.98,0,2.94,220.87,0,0.98,0,0.98,0.98,0,0,0,9.82,0,0,0
 84-94,0,0,0,3.19,1.06,282.5,1.06,0,8.5,0,0,0,0,0,0,8.5,1.06,3.19,2.12,103.02,1.06,0,2.12,0,2.12,0,1.06,0,9.56,0,0,0
 96-106,0,0,0,3.28,0,231.68,0,1.09,9.84,2.19,0,0,0,1.09,1.09,8.74,0,1.09,1.09,90.71,0,0,1.09,0,2.19,1.09,0,0,4.37,0,0,2.19
108-118,0,0,0,3.83,0.77,159.32,0.77,0.77,6.13,2.3,0.77,0,0,0,0,9.96,0,1.53,0,135.58,0,0,0,0.77,0.77,0,0,0,4.6,0,0.77,0.77
120,0,0,0,5.88,0,105.83,5.88,0,3.92,1.96,5.88,0,0,0,0,3.92,0,0,0,150.9,0,0,0,1.96,1.96,0,0,0,0,1.96,0,1.96
