stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,36.78,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,39.43,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,61,0,0,1,0,0,0,1,1,13,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,2.46,0,0.82,0,0,0,0,0,0,0,3.28,0,0.82,97.68,0,0,0,0.82,0,0,0,0,25.45,0,2.46,0,0
 36-46,0,0,0,0,0,0,6.45,0,1.61,0,0,0,0,0,0,0,0.81,0,0,98.29,0,0.81,0,0,0,0.81,0,0,41.09,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,8.61,0,3.44,0,0,0.57,0,0,0,0,0.57,0.57,0,45.33,0,0,0,0,0,0,0,0,40.74,0,4.59,0,0.57
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0,0.98,29.45,0,0.98,0,0,0,0,0,0,21.59,0,1.96,0,0
 72-82,0,0,0,0,2.94,0.98,1.96,0,1.96,0,0,0.98,0,0,0,0.98,4.91,0,1.96,25.52,0,0,0,0,0,0,0,0,9.82,3.93,6.87,0,0
 84-94,0,0,0,0,3.19,0,8.5,0,1.06,0,0,1.06,0,1.06,0,0,4.25,0,0,18.05,0,2.12,0,0,0,0,0,0,3.19,3.19,7.43,0,0
 96-106,0,0,0,0,2.19,0,3.28,0,1.09,0,0,1.09,1.09,0,0,1.09,6.56,0,1.09,13.11,2.19,3.28,0,0,2.19,0,0,0,6.56,3.28,5.46,0,0
108-118,0,0,0.77,0,1.53,0,3.06,0.77,2.3,0,0,0,0,0.77,0.77,3.06,5.36,0,0,16.85,0,0.77,0,0,0,0,0,0,0.77,1.53,2.3,0.77,0
120,0,0,0,0,3.92,0,5.88,0,5.88,1.96,0,0,0,0,0,1.96,5.88,0,1.96,17.64,0,1.96,0,1.96,0,0,0,0,1.96,3.92,5.88,0,0
