stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0.82,27.09,3.28,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,21.75,2.42,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,1.15,0,0,1.72,14.35,1.15,1.15,0,0,0,0
 60-70,0,0,0,0,2.94,0,0.98,0,4.91,0.98,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0.98,25.52,0.98,0,0,0,1.96,0
 72-82,0,0,1.96,0,2.94,2.94,0,0.98,8.83,0,1.96,0.98,0,0,0,3.93,0.98,0,0,4.91,0.98,0,0.98,42.21,0.98,0,0,0,0,0.98
 84-94,0,0,4.25,2.12,8.5,1.06,2.12,0,20.18,0,5.31,0,1.06,0,0,0,0,0,0,3.19,0,0,6.37,116.82,1.06,0,1.06,0,1.06,0
 96-106,0,0,0,4.37,29.51,1.09,2.19,1.09,38.25,0,3.28,1.09,2.19,1.09,0,4.37,0,1.09,0,7.65,1.09,1.09,4.37,128.96,3.28,0,2.19,0,3.28,0
108-118,0,0,1.53,3.83,20.68,2.3,2.3,0.77,45.96,0,0.77,1.53,0,0,0.77,1.53,1.53,0,0,7.66,0.77,0,3.06,91.92,6.89,0,3.06,0,1.53,0
120,0,0,0,3.92,39.2,0,3.92,0,52.91,0,1.96,1.96,0,0,0,0,5.88,0,0,13.72,0,1.96,0,90.15,7.84,0,3.92,1.96,3.92,0
