stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,97.56,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,1,2,0,2,0,0,1,2,0,0,0,4,0,4,41,1,0,0,0,0,1,14,1,4,13,1,0
 24-34,0,0,0,0.82,0,3.28,0.82,1.64,0,0,0,0,0,0,0,5.75,0,2.46,15.6,0,0,0,0,1.64,0,0,0.82,0.82,4.93,4.93,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,2.42,0,1.61,5.64,0.81,0,0,0,0,0,0,1.61,0,1.61,0,0
 48-58,0,0,0,0,0,0.57,0.57,0.57,0,1.15,0,0,0,0,0.57,1.15,0,0,1.72,0,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,2.94,0,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,1.96,0,0,0,0.98
 72-82,0,0,0,0,0,2.94,0.98,1.96,0,0,0,0.98,0.98,0,0,6.87,0.98,0.98,0.98,0,0,0,0,0,0,0,2.94,0,0,0.98,0.98
 84-94,0,0,0,1.06,1.06,3.19,0,3.19,1.06,0,0,0,1.06,0,1.06,2.12,2.12,0,1.06,0,1.06,2.12,0,2.12,0,0,4.25,0,0,0,0
 96-106,0,0,0,1.09,0,4.37,0,1.09,0,0,0,0,0,0,1.09,3.28,0,0,0,0,0,0,0,2.19,0,0,3.28,0,0,0,0
108-118,0,0,0,0,0.77,6.13,0,0.77,0.77,0,0,0,3.06,0,0,3.83,0,0,2.3,0,0,0.77,0,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0
