stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,26.29,0,0,18.4,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,12.59,0,0,0,0,0
 14-21,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,2,0,1,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0.82,13.95,0,0,0,0,0,0.82,0,2.46
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,1.61,0,0,0,8.06,0,0,0,0,0,0,0.81,1.61
 48-58,0,0,0,0,2.3,0,0,0,0,0,0,0,0,1.15,0.57,1.15,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,2.94
 84-94,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,1.06,1.06,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,2.19,1.09,0,0,0,0,1.09,0,0,0,3.28
108-118,0,0,0,0,0,0,0.77,0,0,0,1.53,0,0,2.3,0,0,0,0,0,0,0,0,0,0
