stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,7.89,7.89,0,0,15.77,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,9.44,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,47,11,0,0,0,0,3,0,0,0,1,0,0,0,0,77,1,0,3,61,2,0,0,0,10,1,0,1,11,0,0,2,0,0
 24-34,0,0,0,0,33.66,1.64,6.57,0,0,0.82,0,0,0,0.82,1.64,0,0.82,0,0.82,200.29,0,0,2.46,179.77,1.64,5.75,0,0,4.93,0.82,0.82,0,43.51,0,0,3.28,0,0.82
 36-46,0,0,0.81,0,15.31,0,16.11,0,0.81,2.42,0,0,0,0,0,0,0,0.81,0.81,54.79,0,0,0.81,140.19,1.61,0,0,0,2.42,0,0,0,29,0,0,0,0,0
 48-58,0,0,3.44,0,14.92,0,22.38,0.57,1.72,4.59,0,0,0,0,0,0,0.57,0.57,0,23.53,1.15,0.57,0.57,98.12,0.57,0.57,1.15,0,1.72,0,0.57,0,21.8,0,0,1.15,0,1.15
 60-70,0,0,0.98,0,19.63,0,24.54,0.98,2.94,6.87,0,0,0.98,0,0,0,0,0,0,14.72,0.98,0,0,85.39,0,0,2.94,0,0.98,0.98,0,0,4.91,0,0,0,1.96,0.98
 72-82,0,0,3.93,0,9.82,1.96,33.38,0,2.94,21.6,0,0,0,0,0,0,0,0,0,19.63,0,0.98,0.98,126.63,0,0.98,1.96,0,0,0.98,0,0,4.91,0,1.96,2.94,7.85,0
 84-94,0,0,6.37,0,30.8,2.12,30.8,0,5.31,4.25,2.12,0,0,1.06,0,0,0,0,0,18.05,1.06,2.12,1.06,71.16,0,2.12,5.31,0,3.19,0,0,0,2.12,1.06,0,2.12,8.5,3.19
 96-106,0,0,1.09,0,14.21,1.09,25.14,0,2.19,5.46,2.19,0,0,1.09,0,1.09,0,0,0,15.3,0,1.09,2.19,67.76,0,6.56,4.37,0,2.19,1.09,0,0,2.19,0,0,1.09,16.39,2.19
108-118,0,0,3.83,0,13.02,0.77,25.28,0.77,3.83,5.36,0,0,0,0,2.3,0,0,1.53,0,19.92,0,0.77,0.77,73.53,0,0,5.36,0,6.89,0.77,0,0,2.3,0,0,0,6.89,3.06
120,0,0,3.92,0,5.88,0,11.76,0,0,3.92,0,0,0,0,0,0,1.96,0,0,21.56,0,1.96,1.96,123.47,0,0,3.92,0,1.96,0,0,0,3.92,0,0,0,9.8,0
