stage,blastomeres,epidermis,eye,glial,liver,mesenchyme,neural,notochord,pronephros,spinal.cord,vascular.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0.82,0,0,0,0,5.75,0,0,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,1.72,0.57,0,0,10.33,0.57,0,1.15,0
 60-70,0,0,1.96,0,0,0,4.91,0,0.98,0.98,0.98
 72-82,0,0,4.91,0,0,0.98,7.85,0,0,0,0.98
 84-94,0,0,4.25,0,0,0,5.31,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0.77,0,0
120,0,0,1.96,0,0,0,1.96,1.96,0,0,0
