stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
 24-34,0.82,0,0,2.46,0,0,0,0,0,0,0,0,12.31,0,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,3.22,0,7.25,0,0,0,0.81,0,0,0,0.81,0.81,0,0.81
 48-58,0,0,0,2.87,0,0,0.57,0,1.72,0,1.72,0,6.31,0.57,0,0,0,0,0.57,0,2.87,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,3.93,0,3.93,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0.98,0,0.98,0,0,1.96,0,1.96,0,1.96,0.98,5.89,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,7.43,0,0,0,0,4.25,1.06,1.06,0,1.06,0,0,0,1.06,0,0,0,0,2.12,0,0
 96-106,1.09,0,0,3.28,1.09,1.09,2.19,2.19,3.28,1.09,4.37,1.09,6.56,0,0,0,0,0,0,0,0,1.09,2.19,0
108-118,0.77,0,0.77,2.3,0.77,0,0.77,0,6.13,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0
120,1.96,0,0,0,0,0,3.92,0,5.88,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0
