stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,5.26,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,1,0,0,0
 24-34,0,0,7.39,0.82,0,0.82,0,1.64,0,0,3.28,0,0,0,0,0,2.46,0,0,0.82,15.6,0.82,0,1.64,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0.81,0.81,0,0,41.89,0,0,5.64,1.61,0,3.22,0,0
 48-58,0,0,0.57,0,0,3.44,0,0,0,0,0.57,0.57,0,0,0,0,2.3,1.15,0,0,41.31,1.15,0,1.15,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,8.83,0,0,0,0.98,0,0,0,0,0.98,0,5.89,4.91,0,0,52.02,0,0,0,0,0,0,0.98,0
 72-82,0,0.98,0,0.98,0,13.74,0.98,0,0.98,3.93,0,0,0,0,0,0.98,0,5.89,0,0,105.04,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,3.19,0,7.43,0,0,0,2.12,0,0,0,0,2.12,0,1.06,7.43,1.06,0,48.85,1.06,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,3.28,0,8.74,0,0,0,6.56,0,0,2.19,0,1.09,0,0,4.37,0,0,49.18,2.19,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,6.13,0,0,0,2.3,0,0,0,0.77,0.77,0,0,3.83,0,0,58.98,1.53,0,0,0,0,0,0.77,0
120,0,1.96,0,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,58.79,0,0,0,0,0,0,1.96,0
