stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,44.69,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,3,0,0,0,0,0,0,22,0,0,0,0,0
 24-34,0,0,11.49,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,149.4,0,9.03,2.46,0,0,1.64,0,0.82,76.34,0,0,0.82,0,0
 36-46,0,0,9.67,0,1.61,0,0,6.45,0.81,0,2.42,0,0,0,0,0,0,0,0,0,0,0,331.13,0,16.11,2.42,0,0,4.03,0.81,0,87.82,0,0,0,0,0
 48-58,0,0,8.03,0,1.72,0.57,0,37.3,0,0.57,2.3,0,0,0,0,0,0.57,0,4.59,0,0,0.57,372.97,0,12.05,2.87,0,0,1.15,0,0,65.99,0,0,0,0,0
 60-70,0,0,8.83,0,3.93,0,0,145.27,0,0.98,2.94,1.96,0,0,0,0.98,0,0,3.93,0,0,1.96,661.55,0,16.69,5.89,0,0,0.98,0.98,0,81.47,0,0,0,0,0
 72-82,0,0,29.45,0,5.89,0.98,0,410.33,0.98,0.98,31.41,15.71,0,1.96,0,0,1.96,0,14.72,0,0.98,0.98,952.21,0,19.63,10.8,0,0,1.96,0,0,78.53,5.89,0,2.94,0,0.98
 84-94,0,0,22.3,0,7.43,2.12,0,279.32,0,0,24.43,16.99,0,1.06,1.06,1.06,2.12,0,11.68,0,2.12,2.12,588.37,0,27.61,16.99,0,0,6.37,0,0,46.73,10.62,1.06,3.19,1.06,1.06
 96-106,0,0,34.97,0,16.39,4.37,0,350.8,4.37,1.09,34.97,20.76,0,2.19,0,0,8.74,8.74,18.58,1.09,2.19,2.19,637.13,0,40.44,14.21,0,1.09,2.19,0,0,24.04,17.49,0,0,0,3.28
108-118,0,0,22.21,0,10.72,4.6,0.77,235.15,1.53,0,25.28,9.19,0,1.53,0,2.3,3.83,2.3,4.6,0,0.77,3.06,736.86,0.77,28.34,5.36,0,0,4.6,0,0,20.68,27.57,0,1.53,0,2.3
120,0,0,21.56,0,13.72,1.96,0,209.7,3.92,1.96,35.28,11.76,0,5.88,0,1.96,5.88,0,17.64,1.96,0,3.92,1091.6,1.96,27.44,9.8,0,0,1.96,1.96,0,39.2,13.72,0,1.96,1.96,0
