stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,heart,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,3.15,0,0,0,0
 14-21,0,1,28,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
 24-34,0,0,7.39,0,1.64,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,4.1,0,0
 36-46,0,0,1.61,0,0.81,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,4.03,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,1.72,1.15,0,0,0,2.87,0,0,1.15,0,0.57
 60-70,0,0,2.94,1.96,0.98,0,0,0,0,0.98,1.96,0.98,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,5.89,0,2.94,0,8.83,0,0,0.98,0,0
 84-94,0,0,2.12,0,1.06,1.06,0,1.06,0,1.06,1.06,0,4.25,0,16.99,0,0,3.19,0,0
 96-106,0,0,0,2.19,0,0,0,1.09,0,5.46,5.46,0,1.09,0,12.02,0,0,2.19,0,0
108-118,0,0,1.53,1.53,0.77,0,0,0,0.77,0.77,1.53,0,1.53,0,15.32,0,0.77,4.6,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,1.96,0,0
