stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,65.89,2134.83,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,177.76,4100.73,0,0,0,0,0,0,0,0,0,6.13,0,12.26,67.43,0,0,0,0,0,0,0
  7-9,0,28.92,0,0,0,5.26,0,0,0,0,0,956.85,31.54,588.83,0,0,0,0,0,0,0,0
 10-12,0,25.18,12.59,0,0,6.29,0,0,0,0,0,638.83,25.18,223.43,0,6.29,0,9.44,0,6.29,0,0
 14-21,0,0,0,2,2,1,3,0,7,0,4,59,1,14,0,0,20,9,6,292,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,3.28,5.75,0.82,0,0,0,0,0.82,1.64,18.88,1.64,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,2.42,4.03,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,1.72,1.72,0,0,0,0,0,0,0,1.15,1.15,0
 60-70,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,2.12,0,0,4.25,1.06,1.06,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,1.09,3.28,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0,0,0,3.06,0,0.77,0.77,0,0,0,0,0,0,0,0,0.77,0
