stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,slow.muscle,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,1.96,0,41.22,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0
 72-82,0.98,2.94,0,314.13,0.98,0.98,1.96,1.96,0,0,0.98,0,0,4.91,0.98,0,6.87,0,0.98,0.98,0,0.98,0,0
 84-94,0,2.12,1.06,257.01,0,0,3.19,1.06,0,1.06,0,0,0,4.25,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,2.19,0,339.88,0,1.09,2.19,2.19,1.09,0,0,0,0,0,0,0,4.37,0,2.19,2.19,1.09,0,1.09,0
108-118,0,4.6,0,231.32,0,0,1.53,0.77,0,0.77,0,0.77,0,3.83,0,0.77,6.89,0,0,0.77,0,0,0,0.77
120,0,7.84,0,344.92,0,0,0,1.96,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0
