stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,10.67,0,0,0,8.21,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0.81,0,0,18.53,0,1.61,0,5.64,0,0
 48-58,0,0,1.72,0,1.72,0,0,0.57,1.15,0,0,24.1,0,1.72,0,5.74,0.57,0
 60-70,0,0,24.54,0,0.98,0,0,0,7.85,0,0,43.19,0,0,0.98,8.83,0,0
 72-82,0,0,59.88,0.98,1.96,0,0,0,2.94,0.98,0.98,76.57,7.85,3.93,1.96,7.85,0,0
 84-94,0,0,37.17,0,4.25,0,0,0,4.25,0,0,46.73,4.25,1.06,0,2.12,1.06,0
 96-106,2.19,0,57.92,0,2.19,0,1.09,0,6.56,0,0,41.53,1.09,2.19,0,5.46,0,0
108-118,0.77,0.77,45.19,0,5.36,0,0.77,0,3.06,0,0,56.68,5.36,3.06,0.77,2.3,0,0
120,0,0,58.79,0,1.96,0,0,0,0,0,0,58.79,5.88,3.92,0,0,3.92,1.96
