stage,epidermis,eye,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0
 14-21,1,0,2,0,0,0,0,10,0,1,0,0,0,0,0,12,0,0
 24-34,0,0.82,2.46,0,1.64,0,1.64,13.95,0,0,0,0,0,0,0.82,9.85,0,0
 36-46,0,4.03,4.03,0,0.81,0,0,12.09,0.81,0,0,0.81,0,0.81,0,5.64,0,0
 48-58,0,4.02,0.57,0.57,2.3,0,0,4.02,0.57,0,0,0,0.57,0,0,1.72,0.57,0
 60-70,0,2.94,1.96,0,2.94,0,0,1.96,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,1.96,1.96,0,2.94,0,0.98,2.94,1.96,0,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,3.19,0,1.06,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0
 96-106,2.19,0,2.19,0,3.28,1.09,0,2.19,1.09,1.09,0,0,0,0,0,0,0,0
108-118,0.77,2.3,0,0,1.53,0,0,3.06,0,0.77,0,0,0,0,0,0.77,0.77,0
120,0,1.96,3.92,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
