stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,12.59,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,3,1,5,0,0,0,2,2,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,11.49,0.82,0,0,0.82,1.64,0
 36-46,0,0,0,4.03,0,0,0,0.81,0,0,0,0.81,0.81,6.45,0.81,0,0,1.61,4.03,0
 48-58,0,0,0,2.3,0,1.15,0,0,0,0,0,0.57,0,4.02,0,0,0,0,1.15,0
 60-70,0,0,0,2.94,0,1.96,0,0,0,0,0,1.96,0,5.89,0,0,0,0,0.98,0.98
 72-82,0,0,0,5.89,0,1.96,0,0,0,0,0,2.94,1.96,2.94,0,1.96,0,0,1.96,0.98
 84-94,0,0,1.06,1.06,1.06,0,0,0,1.06,1.06,0,2.12,1.06,1.06,1.06,2.12,0,3.19,1.06,1.06
 96-106,0,0,0,3.28,0,1.09,0,0,0,0,1.09,0,0,4.37,0,0,0,0,0,2.19
108-118,0,0.77,0,1.53,0,0.77,0,0,0,0,0,0.77,0.77,3.06,0,0.77,0,0.77,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
