stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,18,0,2,1,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,21,25,7,0,0,0,26,0,0
 24-34,0,0,0,0.82,1.64,0,0,4.1,0,0,0,12.31,3.28,0,0,0,0.82,0,19.7,0,0,0,0,0,0,55,1.64,2.46,0,0,68.95,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,1.61,0,3.22,0,0,0,0.81,0,0,53.98,0.81,0,0,0,0,0,34.64,0,13.7,0,0,82.98,0,0
 48-58,0,0,0,0,0.57,0,5.74,0.57,0,0.57,0,11.48,1.15,0,0,0,1.72,0,72.3,0,0,0,0,0,0,17.21,0,5.74,0,0,65.41,0,0
 60-70,0,0,0,1.96,0,0,9.82,1.96,0.98,0.98,0,15.7,0.98,0,0,0,8.83,0,170.78,0,0,0,0.98,0,0,16.69,0,3.93,0,0.98,52.02,0.98,1.96
 72-82,0,0.98,1.96,0.98,0,0,26.5,0.98,0,2.94,6.87,29.45,5.89,0,0,0,8.83,4.91,270.94,0,4.91,0,0.98,0.98,0,13.74,0,8.83,0.98,4.91,126.63,0,2.94
 84-94,0,0,0,1.06,1.06,0,24.43,0,0,5.31,11.68,14.87,8.5,0,2.12,0,16.99,3.19,160.37,0,4.25,0,0,1.06,0,28.68,0,5.31,0,1.06,107.27,1.06,1.06
 96-106,0,0,0,7.65,0,0,32.79,3.28,0,5.46,14.21,22.95,10.93,1.09,0,1.09,19.67,2.19,145.35,2.19,3.28,0,1.09,1.09,0,26.23,0,1.09,0,3.28,137.7,0,4.37
108-118,0,0,0,3.06,1.53,0.77,13.02,3.83,0.77,2.3,16.09,20.68,4.6,0,0,3.06,13.02,7.66,153.19,0.77,2.3,0,0,0.77,0,33.7,0,4.6,0,5.36,106.47,0.77,1.53
120,0,0,0,5.88,3.92,0,11.76,0,1.96,3.92,7.84,9.8,7.84,0,0,1.96,11.76,3.92,170.5,0,3.92,0,0,0,0,23.52,0,1.96,0,3.92,78.39,1.96,1.96
