stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,4.93,0,0,1.64,0,1.64,1.64,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.83,0,0,2.42,0,0.81,1.61,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,1.15,0,0,0,0.57,0,0.57,0,0.57,0,0.57,0,1.15,1.72,0,1.72,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,2.94,5.89,0,0,0,1.96,0,0,0,0,0.98,2.94,0,1.96,0.98,0,4.91,0.98,0,0,0,0,0,0.98
 72-82,0,2.94,0,0,0,5.89,1.96,36.32,0,0,1.96,7.85,0,2.94,0,0,1.96,10.8,0.98,0.98,6.87,0,5.89,3.93,0,0,0,0.98,0,0
 84-94,0,3.19,0,0,0,2.12,3.19,73.28,0,1.06,0,3.19,0,2.12,0,0,1.06,9.56,2.12,2.12,11.68,0,16.99,8.5,0,6.37,1.06,0,0,0
 96-106,0,5.46,0,2.19,0,4.37,5.46,165.02,0,3.28,1.09,7.65,0,4.37,0,0,0,41.53,2.19,3.28,15.3,0,17.49,6.56,0,10.93,0,0,1.09,0
108-118,0,0,0,3.83,0,4.6,2.3,238.21,0,0,0,8.43,1.53,3.83,0.77,0,0.77,25.28,0.77,1.53,10.72,0,6.89,9.19,0.77,19.92,0,0.77,0.77,0
120,0,1.96,0,3.92,1.96,0,3.92,146.98,0,0,1.96,1.96,1.96,0,0,0,1.96,25.48,0,1.96,5.88,0,5.88,5.88,1.96,13.72,0,0,0,0
