stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,52.71,1528.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,12.26,594.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,5.26,26.29,0,13.14,0,0,60.46,0,0,0,18.4,0,0,0,0,0,0,0,0,0,283.9,5.26,0,0,118.29,0,5.26,0,0,0,0,0,0
 10-12,0,12.59,0,15.73,0,6.29,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,217.14,9.44,0,0,75.53,0,0,0,3.15,0,0,0,0
 14-21,1,0,0,1,9,2,4,0,0,1,0,0,0,0,0,0,0,13,0,2,88,0,3,0,1,7,0,8,1,3,15,0,0
 24-34,0,0,0,0,2.46,0.82,32.01,0,2.46,0.82,0.82,0,1.64,0.82,0,0,0,18.06,0,4.1,251.18,0,4.1,1.64,0,4.1,0,0,0.82,0.82,42.68,0,1.64
 36-46,0,0,0,0,2.42,0,69.29,0,4.83,0,0,1.61,0,0,0,0,0,13.7,3.22,1.61,192.55,0,1.61,0,0,0.81,0,0,0,0,35.45,0,0.81
 48-58,0,0,0,0,2.3,0,83.78,0.57,4.59,0,0,0.57,0,0,0,0,0,16.64,0.57,1.72,113.61,0,0,0,0,0,0,0,0,0,18.36,0,1.15
 60-70,0,0,0,0,1.96,0,82.45,0.98,16.69,0,0,0,0,0,0.98,0.98,0,24.54,2.94,1.96,78.52,0,0,0,0,0,0,0,0,0,11.78,0.98,0.98
 72-82,0,0,0.98,0,1.96,0.98,31.41,0,18.65,0.98,0,0,0,0.98,0,0,0.98,9.82,0.98,2.94,29.45,0,0,2.94,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,4.25,0,28.68,0,14.87,0,0,0,1.06,0,2.12,1.06,0,11.68,3.19,3.19,22.3,0,0,1.06,0,1.06,0,0,0,0,8.5,0,0
 96-106,0,0,0,0,1.09,0,33.88,0,22.95,0,0,0,0,0,1.09,0,0,3.28,0,1.09,19.67,0,1.09,1.09,0,0,0,0,0,0,2.19,2.19,0
108-118,0,0,0,0,0.77,1.53,32.94,0,21.45,0.77,0,0,0,0,0,0,0,1.53,0,0.77,21.45,0,0,0,0,0,0,0,0,0,1.53,1.53,0.77
120,0,0,0,0,1.96,3.92,50.95,0,23.52,0,0,0,0,3.92,0,0,0,3.92,0,3.92,37.24,0,0,1.96,0,1.96,0,0,1.96,0,1.96,1.96,1.96
