stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,23.66,0,0,7.89,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0.82,1.64,12.31,0,0,0,0,0,0,4.1,0,0
 36-46,0,0.81,0,0,4.83,0.81,0,0,0,0,0,2.42,0,12.89,0,0,0,0.81,0,0,3.22,0,0
 48-58,0,0,0,0,2.87,0,0.57,1.72,0,0,0,0,0.57,5.74,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,8.83,0.98,0.98,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,5.89,0,0,2.94,0,0,0,2.94,0,4.91,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,1.06,0,2.12,0,0,0,0,1.06,0,1.06,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,2.19,0,0,5.46,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,1.09
108-118,0,0,0.77,0.77,1.53,0,0,1.53,0,0,0.77,0,0.77,2.3,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0
