stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,1,0,0,4,0,390,86,3,0,0,0
 24-34,0,0.82,0,5.75,0.82,4.1,0,0,0,3.28,0,0.82,0,0.82,0,0.82,0,0,2.46,0,0,7.39,19.7,0,0.82,0.82,0,0,0,0,0.82,209.32,6.57,12.31,0,0,0.82
 36-46,0,0,0,3.22,0.81,6.45,2.42,0.81,0,0,0,0,0,0,0,0,0,0,7.25,0,0,4.83,25.78,0,1.61,0.81,0.81,0,0.81,0,0,105.54,0.81,4.83,0.81,0,0
 48-58,0,0,0,0,0,7.46,4.02,0.57,1.15,1.72,0,0,0,0,0.57,0,0,0.57,4.02,0,0,7.46,24.1,0,0,0,0,0,0.57,0,0,55.66,0,8.03,1.15,0,0
 60-70,0,0,0,0.98,0.98,15.7,30.43,0.98,0,5.89,0,0,0,0.98,0,0,0,0,7.85,0.98,0,8.83,18.65,0.98,0.98,0.98,0,0,0.98,0,0,29.45,0,1.96,0,0,0
 72-82,0,1.96,0,1.96,0,13.74,41.23,0,0,4.91,0,0,0,1.96,0,0.98,0,0,15.71,0,0,11.78,26.5,0,0.98,0.98,0.98,0,0.98,0,0,16.69,0,4.91,0.98,0.98,0
 84-94,0,0,0,2.12,0,8.5,61.6,0,0,2.12,0,0,0,0,0,0,0,0,5.31,0,0,10.62,10.62,0,0,1.06,0,0,0,0,0,29.74,0,2.12,2.12,2.12,0
 96-106,0,1.09,0,2.19,1.09,7.65,91.8,0,0,4.37,1.09,0,1.09,0,0,2.19,0,0,7.65,0,1.09,9.84,17.49,0,0,2.19,1.09,0,3.28,0,0,53.55,0,0,0,0,0
108-118,0,2.3,0,0.77,0,6.13,68.17,0,0,3.06,0.77,0,0,0,0,0,0.77,0,5.36,0.77,0,12.26,8.43,0,0,0,0,0,0,0,0,36,0,0.77,0,0,0
120,0,0,0,1.96,0,11.76,52.91,0,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,3.92,9.8,0,0,0,0,1.96,0,0,0,13.72,0,0,0,0,0
