stage,axial,blastomeres,endoderm,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,26.29,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,2.46,0.82,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,3.22,0,0,2.42,0,0,0.81,0,0,0
 48-58,0,0,0,1.72,0,0,0,0,2.87,0,0,0.57,0,0,2.3,0,0,0.57,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,4.91,0,0,0.98,0,3.93,0,0,2.94,0,0,10.8,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,1.06,0,5.31,0,1.06,2.12,0,0,1.06,0,0,3.19,0,0,1.06,0,0,0
 96-106,0,0,0,3.28,0,3.28,0,0,7.65,0,0,5.46,0,0,5.46,0,0,3.28,0,0,1.09,0,0,0
108-118,0,0,0,3.06,0.77,1.53,0,0,9.19,0.77,0,1.53,0.77,0,7.66,0,0,5.36,0,0,0,1.53,0.77,0.77
120,0,0,0,0,0,0,0,0,11.76,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
