stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal.cord,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,1.15,0,0,8.61,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,21.59,0,0,0.98,0
 72-82,0,0,1.96,0.98,0.98,0,0,0,0,0.98,31.41,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,22.3,0,0,0,1.06
 96-106,0,0,2.19,0,0,0,1.09,1.09,1.09,0,16.39,0,0,0,0
108-118,0,0,3.06,0.77,0,0,0,0.77,0,0,16.85,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,11.76,1.96,0,0,0
