stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,lateral.line,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,3.28,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,5.16,0,0,0.57,0.57,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,12.76,0,0,0.98,1.96,0
 72-82,0,0,0,0,0.98,0.98,0,0,0.98,8.83,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,7.43,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,4.6,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
