stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,9,9,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,2,50,0,1,0,0,3,7,0,0,181,9,0,0,2,0,1
 24-34,0,0.82,1.64,1.64,0,10.67,0,2.46,2.46,3.28,1.64,0,0,0,3.28,0,1.64,0,0,8.21,0,0,12.31,155.96,1.64,0,0,0,8.21,0,0,0,41.04,27.91,0,0,5.75,0,1.64
 36-46,0,0,1.61,0,0,53.98,0.81,2.42,8.06,14.5,0.81,0,0,0.81,0,0,0.81,0,0,15.31,0,0,11.28,325.49,0,0.81,2.42,0,4.83,0,0,0.81,0,82.98,0,0,4.03,0,4.03
 48-58,0,0,1.72,0,0,53.36,0.57,2.3,11.48,21.23,0,0,0.57,6.89,0,0,0.57,0,0,24.67,0,4.02,9.18,128.53,0,0,0,0,1.15,0,0,0,0,33.28,0,0,0.57,0,3.44
 60-70,0,0,2.94,0,0,56.93,0.98,0.98,14.72,14.72,0,0,3.93,7.85,0,0,0,0,0,30.43,0,11.78,1.96,54.97,0,0,0.98,0,1.96,0,0,0,0,11.78,0,0,0,0,0
 72-82,0,0,4.91,0,0,43.19,0.98,0,11.78,27.49,0.98,0,3.93,14.72,0,0.98,0,0,0,53.99,0.98,29.45,5.89,51.05,0,0.98,0.98,1.96,0,0,0.98,0,0,7.85,0,0,5.89,0,1.96
 84-94,0,0,2.12,0,0,47.79,1.06,0,13.81,19.12,2.12,1.06,3.19,18.05,2.12,4.25,0,0,0,32.92,0,21.24,5.31,27.61,1.06,0,0,1.06,2.12,0,0,0,0,1.06,1.06,3.19,0,0,1.06
 96-106,0,0,6.56,0,0,48.09,2.19,2.19,9.84,31.69,0,0,10.93,18.58,1.09,2.19,0,0,0,45.9,0,27.32,4.37,28.41,0,0,0,1.09,6.56,0,0,0,0,1.09,0,2.19,4.37,3.28,0
108-118,0,0,7.66,1.53,0.77,61.28,0.77,0,2.3,30.64,0.77,0,4.6,16.85,0,7.66,0,0.77,0.77,29.11,0,20.68,6.13,20.68,0.77,0,3.06,0,4.6,0,0.77,0.77,0,0,0,0,3.83,0.77,0.77
120,0,0,5.88,5.88,0,23.52,0,0,7.84,33.32,0,0,1.96,13.72,0,0,0,0,0,41.16,0,19.6,5.88,19.6,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,3.92,1.96
