stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1054.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,10.51,0,47.32,0,0,0,63.09,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,633.52,36.8,0,0,270.76,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,50.35,0,0,0,75.53,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,777.3,31.47,0,0,324.14,0,0,3.15,6.29,40.91,0,0,0,0,0,0,0
 14-21,1,1,0,8,101,31,0,44,0,0,20,3,3,2,1,14,1,0,0,0,70,0,0,53,562,25,2,9,21,0,6,5,169,4,100,222,0,0,3,0,0
 24-34,0,0,0,0,18.06,4.93,0,73.06,0,0.82,9.03,2.46,0,0.82,3.28,4.1,0.82,0.82,0,0,109.17,0,0,43.51,442.44,4.1,7.39,4.1,0,0,18.06,0,0,2.46,13.95,93.58,0,0,10.67,0,0.82
 36-46,0,0,0,0,5.64,0,0,165.97,0,4.03,8.06,0.81,0,0.81,0.81,0.81,1.61,0.81,2.42,0.81,77.34,0.81,0.81,26.59,238.48,0.81,4.03,1.61,0,0,6.45,0,0,1.61,0,61.23,0,0,4.83,0,3.22
 48-58,0,0,0,0.57,9.75,2.87,0,165.83,0,1.72,14.35,0.57,0,1.72,1.72,1.15,1.15,0,0.57,0,87.79,0.57,2.87,14.35,110.74,0,0.57,2.87,0,0,1.72,0,0,0,0,30.41,0,0,5.74,0,2.3
 60-70,0,0,0,0,14.72,1.96,0,111.89,0.98,0,17.67,1.96,0,0,0,0,0,0.98,0.98,0,77.54,0,3.93,10.8,72.63,0.98,0.98,1.96,0,0.98,4.91,0,0,0.98,0,5.89,0,0,5.89,0,2.94
 72-82,0,0,0,0,8.83,0.98,0.98,67.73,0,0,28.47,5.89,0,0.98,0,2.94,0,0.98,3.93,0.98,88.35,0.98,4.91,12.76,65.77,1.96,5.89,4.91,0,0.98,0,0,0,0,0,6.87,0,1.96,6.87,0,0.98
 84-94,0,0,1.06,1.06,21.24,1.06,2.12,54.16,1.06,2.12,14.87,6.37,0,0,2.12,1.06,2.12,1.06,4.25,1.06,67.97,0,9.56,15.93,53.1,2.12,3.19,3.19,0,1.06,0,0,0,2.12,0,3.19,1.06,1.06,7.43,0,0
 96-106,0,0,0,0,7.65,0,0,32.79,0,0,19.67,7.65,0,1.09,3.28,1.09,1.09,2.19,5.46,0,36.06,1.09,2.19,3.28,63.39,0,3.28,4.37,0,0,1.09,1.09,0,2.19,0,3.28,0,1.09,7.65,1.09,2.19
108-118,0,0,0,0,7.66,1.53,0.77,36,0,3.06,19.15,3.06,0,0,4.6,1.53,1.53,0.77,11.49,0,32.94,0,2.3,5.36,73.53,0.77,2.3,2.3,0,0,3.06,0.77,0,1.53,0,2.3,0,0,5.36,0,0
120,0,0,0,0,9.8,5.88,1.96,37.24,0,0,25.48,0,0,0,1.96,0,1.96,0,1.96,0,21.56,0,3.92,5.88,60.75,1.96,1.96,1.96,0,0,1.96,0,0,0,0,1.96,0,0,7.84,0,0
