stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,67,44,1,0,0
 24-34,0,0,4.93,0,1.64,111.64,0,0.82,0.82,0,1.64,0,1.64,4.93,35.3,2.46,1.64,0,0,4.93,71.41,84.55,6.57,0.82,0
 36-46,0,0,2.42,0,0.81,105.54,0,0,0,0,0,0,0.81,3.22,12.09,1.61,0,0,0,0,33.03,1.61,4.03,0.81,0.81
 48-58,0,0,0,0,2.3,36.15,0,0,0.57,0,0,0,2.3,2.3,15.49,0,0,0,0,0.57,10.33,0,3.44,0,0
 60-70,0,0,0,0,2.94,26.5,0,0,0.98,0,0,0,1.96,4.91,6.87,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,1.96,40.25,0,0,2.94,0,0,0,0,1.96,5.89,0.98,0,0,0,2.94,0,0,0.98,0,0
 84-94,0,0,0,1.06,2.12,46.73,0,0,0,1.06,0,0,3.19,7.43,4.25,0,1.06,0,0,5.31,2.12,0,0,0,0
 96-106,0,0,1.09,0,5.46,57.92,1.09,0,1.09,0,0,2.19,1.09,4.37,5.46,0,0,1.09,0,4.37,1.09,0,0,0,0
108-118,0,0,0.77,0,3.06,34.47,0,0,0,0,0,0,0.77,1.53,3.06,0,0,0,0.77,5.36,0.77,0,0.77,0,0
120,0,0,1.96,0,0,25.48,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,0,0
