stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,527.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,1,0,3,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,3,58,1,0,0,3,2,9,0,0,4,35,0,0,1,0,0
 24-34,0,0,1.64,0,8.21,0.82,0,13.95,0,0.82,0.82,5.75,0,0.82,0.82,0,0,0.82,1.64,0,10.67,0,0,4.1,141.19,1.64,2.46,1.64,0,0.82,0,0,0.82,1.64,36.12,0,0,9.85,0,0
 36-46,0,0,0,0,1.61,0,0,24.98,0,0.81,0.81,1.61,0,0,0,0,0,0.81,0,3.22,13.7,0,0,6.45,130.52,1.61,8.06,0,0,1.61,0,1.61,0,0.81,22.56,0,0,3.22,0,0
 48-58,0,0,0,0,1.72,0.57,0,51.07,0.57,0,0.57,15.49,0,1.72,0,0.57,0,0,0,1.72,31.56,0,0.57,2.3,110.17,0,2.3,1.15,0,0.57,0,0,0.57,0,21.23,0,0,0.57,0,1.15
 60-70,0,0,0,0,1.96,0,0,81.47,1.96,0,0.98,16.69,0.98,0.98,0,0,0,0,0,0.98,32.39,0,2.94,0.98,136.43,0,0.98,0.98,0,2.94,0,0.98,0,0,16.69,0.98,0.98,0,0,0
 72-82,0,0,0.98,0,2.94,0.98,0,79.51,0,0.98,1.96,29.45,0,0.98,0,0.98,0.98,0.98,0.98,0,37.3,0,0.98,1.96,94.24,0,2.94,4.91,0,2.94,0,0,0,0,10.8,0,0,5.89,1.96,0.98
 84-94,0,0,0,0,3.19,0,1.06,52.04,0,1.06,3.19,12.74,2.12,1.06,0,1.06,0,2.12,0,1.06,25.49,2.12,4.25,2.12,52.04,1.06,1.06,4.25,0,12.74,0,0,0,0,4.25,1.06,0,2.12,2.12,1.06
 96-106,0,0,1.09,0,5.46,1.09,0,48.09,0,0,0,6.56,0,1.09,1.09,1.09,2.19,3.28,0,0,32.79,0,1.09,1.09,36.06,1.09,3.28,6.56,0,9.84,0,0,0,0,2.19,1.09,0,3.28,1.09,1.09
108-118,0,0,0,0,3.83,0,1.53,33.7,1.53,2.3,0,13.02,2.3,0,0,0.77,1.53,5.36,0.77,1.53,6.89,0,0,6.13,36,0.77,2.3,3.83,0,3.83,0,0,0.77,0,2.3,0.77,0,1.53,0.77,0
120,0,0,0,0,1.96,0,0,21.56,1.96,1.96,0,9.8,5.88,0,0,0,1.96,1.96,1.96,0,15.68,0,0,1.96,43.12,1.96,3.92,9.8,0,3.92,0,0,0,0,1.96,0,0,1.96,1.96,0
