stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,10.51,0,0,5.26,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,0,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,62,0,0,0,1,0,0,0
 24-34,0,0,0,0,14.78,0,0.82,0,6.57,0,0,0,0.82,0,0,3.28,0,1.64,0,0.82,2.46,0,0,0.82,9.85,0,1.64,8.21,0,0,64.85,0,0.82,0.82,2.46,0,0,0
 36-46,0,0,0,0,10.47,0,3.22,0,4.03,0,0,2.42,0,0,0,0,0.81,2.42,0,1.61,3.22,0.81,0,1.61,9.67,0,3.22,3.22,0,0,62.84,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,5.74,0,4.59,0,5.74,0,1.15,0.57,0.57,0.57,0,0,1.15,2.3,0.57,1.15,4.02,0,0,0.57,19.51,0.57,5.16,5.74,0,0,44.76,0,0.57,0,4.02,0,0,0
 60-70,0,0,0,0,11.78,0,7.85,0,1.96,0,0.98,2.94,0,0,0,0,4.91,3.93,0.98,0.98,24.54,0,0,0,16.69,0.98,4.91,4.91,0,0,45.15,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,17.67,0,23.56,0.98,3.93,0,7.85,0.98,0,0,0,2.94,12.76,3.93,0,1.96,38.28,1.96,0,2.94,30.43,0.98,4.91,10.8,0,0,43.19,0,0.98,0,7.85,3.93,0,0
 84-94,1.06,0,1.06,0,29.74,2.12,39.3,1.06,11.68,0,2.12,2.12,0,0,0,4.25,6.37,8.5,0,0,36.11,2.12,0,3.19,13.81,4.25,4.25,9.56,0,0,103.02,0,1.06,0,3.19,3.19,0,0
 96-106,0,0,0,0,66.66,0,64.48,0,7.65,0,4.37,8.74,1.09,0,0,9.84,13.11,10.93,2.19,0,26.23,0,0,0,19.67,2.19,13.11,16.39,0,1.09,87.43,1.09,0,0,2.19,7.65,0,2.19
108-118,0,0,0,0.77,72,0,68.17,0,13.02,0.77,6.89,9.19,0,0,0.77,10.72,18.38,9.19,0.77,0.77,13.79,0.77,0.77,0.77,21.45,1.53,12.26,19.15,0,0,78.13,0,3.06,0,3.06,13.02,2.3,0
120,0,0,0,0,54.87,0,60.75,0,17.64,1.96,3.92,5.88,0,0,0,7.84,7.84,3.92,0,0,19.6,0,0,1.96,31.36,1.96,5.88,9.8,0,0,52.91,0,1.96,0,0,0,0,0
