stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,7,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,84.55,0,5.75,0,0,27.09,0,0,0
 36-46,0,0,0,8.86,0,0,0,0,0,0,254.59,0,0.81,0,0,50.76,0,0,0
 48-58,0,1.15,0,23.53,0,1.15,0,0,0,0,300.1,0.57,1.15,0,0.57,43.61,0,0,0
 60-70,0,0,0,48.09,0,0.98,0,0.98,0,0,420.09,0,1.96,0,0,50.06,0,0,0
 72-82,0.98,0,0,49.08,0,3.93,0,0,3.93,0,352.42,0,0.98,0,0.98,19.63,0,0,0.98
 84-94,1.06,1.06,1.06,37.17,0,3.19,1.06,0,5.31,1.06,186.92,0,0,0,0,15.93,0,1.06,0
 96-106,0,3.28,0,32.79,0,2.19,0,0,0,0,148.63,0,1.09,0,0,7.65,0,0,0
108-118,0,0.77,0.77,22.21,0.77,3.06,0,0,0.77,0,154.72,0,0.77,0,0,0.77,0.77,0,0
120,0,3.92,0,19.6,0,1.96,0,0,5.88,0,143.06,0,1.96,0,1.96,5.88,0,0,0
