stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,2,0,2,15,1,0,1,0,4,1,2,7,1
 24-34,0,0,1.64,0.82,0,0,2.46,0,1.64,11.49,0,1.64,0,0,0,0,0,3.28,0
 36-46,0,0,4.03,0,1.61,0,0.81,0,0.81,7.25,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,4.02,0,2.3,0,1.15,0,0,2.87,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,1.96,0,0.98,0.98,0.98,0,0,7.85,0,0,0,0,0,0,0,2.94,0
 72-82,0,0.98,1.96,0,1.96,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,1.06,0,0,0,0,0,1.06,1.06,1.06,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,1.09,0,2.19,0,0,0,0,3.28,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0.77,0,0.77,0,1.53,0,0,2.3,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
