stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,1.96,0,0,0,0.98,11.78,0.98,0,0,0,5.89,0,0,0,0,0,0
 84-94,0,2.12,0,0,0,1.06,0,1.06,1.06,0,42.48,0,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.37,0,0,0,5.46,65.57,0,1.09,2.19,0,8.74,1.09,0,1.09,0,0,0
108-118,0,0,0.77,0.77,0,1.53,0.77,0,0.77,1.53,89.62,0,0,0.77,1.53,6.89,0,0.77,3.83,0.77,0,1.53
120,0,0,1.96,0,1.96,3.92,0,1.96,0,0,52.91,1.96,0,1.96,0,3.92,0,0,1.96,0,0,3.92
