stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,9.03,0,0.82,0.82,0,0,9.03,0.82,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,2.42,0,0,0.81,0,0,0,0.81,0,0,0,1.61,0.81,0,0,12.89,0,2.42,0,0,0,8.86,0,0,0,0.81,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,0,6.31,0.57,0,0.57,0,0,0,0,0,0.57,0,1.15,1.15,0,0.57,10.33,0,1.72,0,0,0,6.31,0,0,0,1.15,0,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,0,0,3.93,0.98,0,3.93,0,0,0,0,0.98,0,0.98,2.94,0,0.98,0,8.83,0,3.93,0,0,0,17.67,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,3.93,5.89,0,2.94,0.98,0,2.94,1.96,0,1.96,0,0,0.98,0.98,5.89,1.96,0.98,0.98,24.54,0,9.82,0.98,0,0,11.78,0,0,0,0,3.93,0,0.98,1.96,0.98
 84-94,0,0,3.19,0,4.25,4.25,0,1.06,2.12,0,4.25,8.5,0,6.37,0,0,4.25,1.06,7.43,1.06,1.06,0,4.25,0,2.12,1.06,0,1.06,42.48,0,0,0,0,1.06,2.12,0,0,1.06
 96-106,0,0,1.09,0,4.37,3.28,0,2.19,1.09,1.09,3.28,10.93,0,8.74,5.46,0,2.19,4.37,7.65,4.37,2.19,0,12.02,0,6.56,1.09,0,0,42.62,0,1.09,0,0,3.28,1.09,3.28,0,0
108-118,0,0,0.77,0,8.43,2.3,3.06,5.36,2.3,0.77,1.53,13.79,0,6.89,3.83,0,0,6.89,4.6,2.3,1.53,0.77,2.3,0,0,3.06,0,0,26.81,0,0,0,0.77,0,0,0.77,0,1.53
120,0,0,0,0,7.84,7.84,1.96,0,5.88,0,7.84,11.76,0,3.92,0,0,1.96,1.96,3.92,0,0,0,7.84,1.96,1.96,1.96,0,0,54.87,0,0,0,0,1.96,0,1.96,0,0
