stage,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,8,4,0,0
 24-34,0.82,0,1.64,0.82,0,0,0,0,0,0,19.7,22.98,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,39.48,19.34,0.81,0
 48-58,0,0,1.72,0,0,0,0,1.15,0,0.57,64.27,15.49,0,0
 60-70,0,0,3.93,0.98,0,0,0,0,0,0.98,111.89,61.84,0,0.98
 72-82,0,0,13.74,2.94,0,0,0,2.94,0,0.98,133.51,45.16,0,0
 84-94,3.19,0,11.68,2.12,0,0,1.06,1.06,1.06,0,70.09,24.43,0,0
 96-106,2.19,1.09,8.74,2.19,1.09,1.09,0,1.09,0,0,90.71,14.21,0,0
108-118,0,0,8.43,1.53,0.77,0,0,0.77,0,0,79.66,16.09,0.77,0
120,1.96,0,1.96,0,0,0,0,1.96,0,0,109.75,9.8,0,0
