stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,24.52,122.59,0,0,0,0,0,0,0,0,42.91,0,12.26,0,0,0
  7-9,5.26,5.26,0,0,7.89,0,5.26,0,0,0,47.32,7.89,55.2,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,6.29,0,0,0,34.62,3.15,53.5,0,3.15,0
 14-21,0,0,0,0,1,0,0,0,0,0,7,13,7,0,5,2
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
