stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0.82,0,0,0,5.75,0,0.82,5.75,0,0,0,1.64,0.82,0,0,2.46,0.82,8.21,0.82,0,0,3.28,0.82,0.82,8.21,0,0,0,0,0
 36-46,0,0,0,4.83,7.25,0,0.81,0,0,0,0,0,1.61,11.28,0,0,0,4.03,0,0,0.81,3.22,0,7.25,0,0,0,4.03,0,2.42,2.42,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,2.3,1.72,0.57,0,1.15,0,0,2.87,0,1.72,0,1.15,0,0.57,0,4.02,0,4.02,0.57,0,0,0.57,0,1.15,2.3,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,1.96,0.98,0,0,1.96,0,0,8.83,0,1.96,0.98,9.82,0,0,0,0.98,0.98,3.93,4.91,0,0.98,1.96,0,2.94,3.93,0,0.98,0.98,0,0
 72-82,0,0,0,0,5.89,0,1.96,3.93,0,0.98,0.98,0,1.96,21.6,0,7.85,19.63,32.39,0,2.94,0,7.85,0.98,17.67,6.87,0,0,0,0,0,0,0,0.98,0.98,0.98,0
 84-94,0,0,1.06,0,2.12,0,3.19,2.12,0,0,0,1.06,1.06,50.98,0,9.56,28.68,22.3,0,0,1.06,4.25,0,10.62,1.06,0,0,2.12,1.06,3.19,2.12,1.06,2.12,0,0,0
 96-106,0,0,0,0,3.28,1.09,0,1.09,0,0,5.46,3.28,0,40.44,0,15.3,156.28,13.11,0,0,1.09,22.95,0,20.76,4.37,0,0,4.37,0,3.28,1.09,1.09,1.09,2.19,1.09,0
108-118,0,0,1.53,0,3.83,0,4.6,3.83,0,1.53,3.06,1.53,0,40.6,0,9.19,214.47,6.89,0,0,0,22.21,0.77,11.49,1.53,0,0,2.3,0,1.53,0,0.77,0,1.53,0,0
120,0,0,0,0,3.92,0,1.96,1.96,0,0,0,1.96,0,48.99,1.96,3.92,131.31,5.88,0,0,0,11.76,0,9.8,7.84,0,0,0,0,0,0,0,1.96,0,1.96,0
