stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,5.75,0,0,0.82,2.46,0,0,0,0.82,0.82,14.78
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,12.09
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,14.92
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.74
 72-82,0,0.98,0,0.98,0,0,0.98,0,0,0.98,0.98,0,0.98,0,0,0,0,0,36.32
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,35.05
 96-106,0,1.09,0,0,1.09,1.09,0,1.09,0,0,0,0,0,2.19,0,1.09,0,0,49.18
108-118,0,0,0,0.77,0,0.77,0,0,0,0,0.77,0,2.3,0,0,0,0,0,45.96
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,33.32
