stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,10.51,0,0,0,13.14,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,115.66,5.26,0,0,55.2,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,37.76,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,138.47,22.03,0,0,34.62,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,66,4,0,4,0,0,0,2,1,1,2,0,1,0,0,0,0,15,0,0,11,42,2,1,1,6,0,10,0,8,1,7,24,0,0,0,0,0
 24-34,0,0,0,0.82,23.8,0.82,0,15.6,0,5.75,0,0,0,1.64,0.82,1.64,0.82,0.82,1.64,1.64,0.82,22.98,2.46,0.82,9.85,136.26,3.28,1.64,2.46,0,0,10.67,0,0,1.64,1.64,45.97,0,0,6.57,0,0.82
 36-46,0,0,0,0,7.25,0.81,0,29,0,4.83,1.61,7.25,0,0,0,0.81,0.81,0,0.81,0,0,25.78,0,2.42,15.31,145.83,0.81,2.42,1.61,0,0,13.7,0,0,0.81,0,50.76,0,0,7.25,0,3.22
 48-58,0,0,0,0.57,7.46,0,0,51.07,0,2.87,0.57,12.05,0,0,1.15,1.15,0.57,1.15,0.57,0,1.15,41.89,1.72,5.16,6.31,110.17,1.15,0.57,1.15,0,0,9.75,0,0,0,0,33.28,0,0.57,8.61,0,4.02
 60-70,0,0,0,0,9.82,0,0,79.5,0,3.93,0,20.61,1.96,0,1.96,2.94,0,2.94,0.98,0.98,1.96,55.95,0,3.93,5.89,97.17,2.94,1.96,4.91,0,0,8.83,0,0,0.98,0,22.58,0.98,5.89,3.93,1.96,3.93
 72-82,0,0,0.98,0,6.87,1.96,0,68.72,0,2.94,0.98,23.56,1.96,0,0,1.96,1.96,0.98,0.98,0.98,0,42.21,0,8.83,3.93,92.28,0,3.93,3.93,0,0.98,3.93,0,0,0.98,0,4.91,2.94,4.91,11.78,9.82,0
 84-94,0,0,0,0,11.68,1.06,0,30.8,0,3.19,1.06,14.87,10.62,0,0,4.25,3.19,1.06,4.25,2.12,2.12,52.04,0,6.37,6.37,41.42,0,1.06,6.37,0,0,13.81,0,0,3.19,0,2.12,2.12,5.31,7.43,9.56,0
 96-106,0,0,1.09,0,3.28,2.19,0,32.79,0,5.46,1.09,14.21,4.37,0,0,2.19,0,1.09,1.09,2.19,0,24.04,1.09,2.19,3.28,30.6,0,3.28,7.65,0,0,7.65,0,0,2.19,0,3.28,1.09,4.37,7.65,14.21,1.09
108-118,0,0,1.53,0,8.43,0.77,3.06,26.81,0.77,3.06,0.77,3.83,3.06,0,0.77,5.36,1.53,2.3,3.06,0.77,0.77,17.62,0.77,0.77,2.3,42.13,0,1.53,3.83,0,1.53,4.6,0,0,0.77,0,0,2.3,3.06,2.3,5.36,1.53
120,0,0,0,0,17.64,3.92,0,15.68,0,7.84,1.96,7.84,3.92,0,0,3.92,0,5.88,1.96,0,0,21.56,0,7.84,0,41.16,1.96,5.88,1.96,0,0,13.72,0,0,0,0,0,0,1.96,3.92,9.8,0
