stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,31,0,0,0,1,0,0,0,2,0,3,16,0,0,0,0,0
 24-34,0,0,0,1.64,0,2.46,0,0,0,1.64,0,0,0,0.82,0.82,0.82,0,0.82,0,0.82,44.33,0,0.82,0,0,0,0.82,0,0,0,0,8.21,0,0,0,0,0
 36-46,0,0,0,0,0,15.31,0,0,0,1.61,0,0,0,0,0,0,0,8.06,0,0.81,67.68,0,0,0.81,0,0,0.81,0,0,0,0,20.95,0,0,0,0,0
 48-58,0,0,0.57,0.57,1.15,15.49,0,0.57,0,5.74,0,0,0,0,0,0.57,0,6.89,0,0.57,47.63,0,0,0,0,0,0.57,0,0,0,0,8.03,0,0,0.57,0,0.57
 60-70,0,0,0.98,1.96,0,28.46,0.98,0,0,6.87,0,0.98,0,0,0,0,0,7.85,0,1.96,60.85,0,0,0.98,0,0,0,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0.98,0.98,1.96,22.58,0,0,0,11.78,0,0,0.98,0.98,0,0,0.98,5.89,0.98,0,47.12,0,3.93,0,0,0,0.98,0,0,0,0,3.93,0,0,0,0,0
 84-94,0,0,0,2.12,0,20.18,0,0,1.06,4.25,0,0,0,0,0,0,0,11.68,0,2.12,32.92,0,0,1.06,0,0,4.25,0,0,0,0,4.25,0,0,1.06,1.06,0
 96-106,0,0,0,2.19,5.46,15.3,0,0,0,8.74,0,0,1.09,0,0,1.09,0,12.02,0,0,27.32,0,0,3.28,0,0,1.09,0,0,0,0,1.09,0,0,1.09,0,1.09
108-118,0,0,0,2.3,2.3,15.32,0,0.77,1.53,6.13,0.77,0,0.77,0,0,0,0,10.72,0,0,27.57,0,0,0,0,0,3.83,0,0,0,0,2.3,0.77,0.77,1.53,0,0.77
120,0,0,0,1.96,0,9.8,0,1.96,0,1.96,0,0,0,0,1.96,0,0,3.92,0,1.96,27.44,1.96,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0
