stage,blastomeres,endoderm,eye,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,47.32,0,0,21.03,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,0,0,0,0,47.2,0,0,22.03,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0.82,3.28,0,0.82,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,1.72,0.57,0,0,0,1.15,0,0,5.16,0.57,0,0,0,0,2.3,0,0
 60-70,0,0,3.93,0.98,0,0,0,0.98,0,0,2.94,0,0,0,0,0,1.96,0,0
 72-82,0,0,5.89,0,0,0,0,2.94,0,0,8.83,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0
